timestamp,load,ram_usage
1140106,0.9949641,0.4066737
1640166,0.6460196,0.6847667
2140127,0.46833104,0.685922
2640120,0.4821599,0.6882327
3140339,0.47842556,0.6882327
3640137,0.5663047,0.7272758
4140627,0.5590217,0.7272758
4640165,0.6036196,0.7290088
5140175,0.68095696,0.73023206
5640161,0.58536446,0.73023206
6140188,0.5873992,0.73023206
6640128,0.5856412,0.73023206
7140147,0.5880468,0.73023206
7641018,0.58492005,0.73023206
8140165,0.5901948,0.7334262
8640162,0.625149,0.7344796
9140142,0.63126147,0.7344796
9640127,0.62332773,0.7344796
10140258,0.6293644,0.7344796
10640246,0.6261306,0.7344796
11140646,0.6297544,0.7344796
11640161,0.62523127,0.7344796
12140162,0.6243162,0.7344796
12640129,0.632282,0.7344796
13140164,0.6287382,0.7344796
13640195,0.6436946,0.7344796
14140311,0.6439303,0.7344796
14640988,0.64512813,0.7349893
15140146,0.65119064,0.7349893
15640161,0.6470226,0.7349893
16140182,0.6510478,0.7349893
16640128,0.6470967,0.7349893
17140510,0.6487769,0.7349893
17640165,0.6930251,0.7394407
18140635,0.6779721,0.7394407
18640160,0.6944834,0.7394407
19140232,0.6939322,0.7394407
19640163,0.700117,0.7394407
20140132,0.6976994,0.7394407
20640131,0.6983568,0.7394407
21140146,0.6646594,0.7394407
21641077,0.6523685,0.7394407
22140164,0.6582129,0.7394407
22640129,0.6504445,0.7394407
23140145,0.6580161,0.7394407
23640131,0.66219926,0.7394407
24140365,0.65720826,0.7394407
24640172,0.6571411,0.7394407
25140687,0.6558439,0.7394407
25640132,0.657239,0.7394407
26140131,0.6445386,0.7394407
26640145,0.6478254,0.7394407
27140134,0.6505066,0.7394407
27640144,0.6532247,0.7394407
28140132,0.6561893,0.7394407
28641181,0.654074,0.7394407
29140143,0.6623167,0.7394407
29640157,0.6536846,0.7394407
30140454,0.6564594,0.7394407
30640130,0.6632331,0.7394407
31140573,0.6565035,0.7394407
31640140,0.6512456,0.7394407
32140129,0.6465653,0.7394407
32640280,0.63996196,0.7394407
33140144,0.64229214,0.7394407
33640133,0.6434034,0.7394407
34140129,0.6505786,0.7394407
34640252,0.6490773,0.7394407
35140165,0.64897823,0.7394407
35640134,0.64750516,0.7394407
36140138,0.6586207,0.7394407
36640130,0.6615807,0.7394407
37140132,0.6560074,0.7394407
37640129,0.6594486,0.7394407
38140650,0.65744275,0.7394407
38640130,0.6538193,0.7394407
39140136,0.65327215,0.7394407
39640131,0.65808856,0.7394407
40140161,0.65120006,0.7394407
40640134,0.65292263,0.7394407
41140132,0.652906,0.7394407
41640288,0.65659165,0.7394407
42140130,0.6486954,0.7394407
42640212,0.6585773,0.7394407
43140165,0.6549988,0.7394407
43640132,0.6525539,0.7394407
44140141,0.65470207,0.7394407
44640129,0.6504072,0.7394407
45140912,0.6590263,0.7394407
45640165,0.6521654,0.7394407
46140143,0.6606606,0.7564647
46640162,0.657864,0.7564647
47140133,0.6610589,0.7564647
47640211,0.648568,0.7512318
48140172,0.6493503,0.7512318
48640488,0.6488189,0.7512318
49140136,0.6497698,0.7512318
49640166,0.6516159,0.7512318
50140134,0.6538787,0.7512318
50640210,0.65606344,0.7512318
51140149,0.65993816,0.7512318
51640132,0.655177,0.7512318
52140962,0.65878814,0.7512318
52640165,0.6532758,0.7512318
53141108,0.64829385,0.7512318
53640167,0.6296537,0.7512318
54140135,0.6349304,0.7512318
54640420,0.636938,0.7512318
55140326,0.63991565,0.7512318
55640576,0.63366437,0.7512318
56140163,0.64099324,0.7512318
56640131,0.63417506,0.7512318
57140143,0.63564944,0.7512318
57640133,0.63325,0.7512318
58140132,0.63473296,0.7512318
