timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
1713701,1713058,3670026,3670026,1.17641375e-05,9.5896075e-06,-5.679046e-06,0.00039528412,5.975212e-05,-0.039351925,4024,4024,0,1,1
2213244,2212601,3670026,3670026,-4.919623e-07,9.586486e-06,-9.4843195e-08,0.00057858357,0.00030846757,-0.03924585,4023,4023,0,1,1
2712910,2712272,3670026,3670026,4.096286e-06,5.9705194e-06,1.1267665e-05,0.00058332074,0.00027648403,-0.03926484,4023,4023,0,1,1
3213086,3212447,3670026,3670026,4.8258635e-06,6.671178e-06,-1.9527191e-05,0.00087392336,0.0005387511,-0.03929219,4024,4024,0,1,1
3717278,3716645,3670026,3670026,2.4847492e-05,1.6276517e-05,3.931286e-06,-0.00020642688,0.00070658355,-0.039340768,4024,4024,0,1,1
4216958,4216318,3670026,3670026,1.0285069e-05,1.3095143e-06,9.1105385e-06,0.00033043532,0.00031284595,-0.039342158,4024,4024,0,1,1
4712478,4711842,3670026,3670026,8.297984e-06,1.0106459e-05,3.9645256e-06,0.00060118746,0.00030889263,-0.03937998,4022,4022,0,1,1
5213412,5212774,3670026,3670026,-1.5396676e-06,-5.0256165e-07,6.4387477e-06,0.0005251879,6.621336e-05,-0.039260294,4024,4024,0,1,1
5712959,5712322,3670026,3670026,3.5837718e-06,-7.2650478e-06,6.4171536e-06,0.0006446178,0.00041725315,-0.039229643,4023,4023,0,1,1
6212689,6211872,3670026,3670026,-7.846841e-09,5.9865724e-06,4.322903e-06,0.0004883206,0.00017325021,-0.03917154,4024,4024,0,1,1
6713443,6712805,3670026,3670026,-3.7931625e-07,2.835321e-06,4.5826496e-06,0.00035010203,0.0001852497,-0.03911851,4024,4024,0,1,1
7214513,7213864,3670026,3670026,2.1418796e-06,-2.9822295e-06,9.259642e-07,0.00030971915,-5.263359e-05,-0.03926994,4024,4024,0,1,1
7714708,7714043,3670026,3670026,2.879965e-06,-1.3223537e-05,-1.0705906e-05,0.00036027262,0.000110575995,-0.03911076,4023,4023,0,1,1
8214272,8213594,3670026,3670026,-8.396953e-07,1.0311426e-05,-7.5911134e-06,0.0006311497,0.00029539966,-0.039107516,4023,4023,0,1,1
8714536,8713900,3670026,3670026,-6.4715846e-07,1.1842241e-05,-1.1414567e-06,0.00043299887,0.00019387952,-0.039332293,4023,4023,0,1,1
