timestamp,mag_inconsistency_angle
1678515,0.0
2178636,0.0
2678543,0.0
3178534,0.0
3678511,0.0
4178507,0.0
4678585,0.0
5178514,0.0
5678603,0.0
6178541,0.0
6678537,0.0
7178587,0.0
7678509,0.0
8178582,0.0
8678534,0.06785092
9178667,0.12503602
9678711,0.14432643
10178556,0.14488146
10678535,0.17897855
11178588,0.16691808
11678621,0.15518068
12178530,0.14477164
12678628,0.14421546
13178571,0.16458511
13678559,0.16395353
14178536,0.16068874
14678579,0.14427468
15178620,0.15184078
15678540,0.1559088
16178659,0.15446156
16678574,0.15052164
17178561,0.1543644
17678530,0.15894216
18178529,0.16341801
18678657,0.1569957
19178550,0.1484408
19678690,0.14839831
20178703,0.17025435
20678616,0.16663852
21178545,0.15519646
21678533,0.15101115
22178710,0.15929876
22678566,0.18067457
23178717,0.17479245
23678669,0.15982741
24178543,0.14242166
24678602,0.14124344
25178531,0.16197552
25678741,0.15528038
26178539,0.15345532
26678763,0.1524185
27178726,0.149283
27678556,0.15802921
28178531,0.1532795
28678531,0.15735017
29178803,0.15163411
29678555,0.1563022
30178794,0.15989769
30678731,0.15603162
31178535,0.13767754
31678531,0.14166276
32178531,0.1505128
32678784,0.15515973
33178554,0.16448024
33678531,0.1569155
34178809,0.15069675
34678540,0.15810487
35178548,0.15106547
35678530,0.15316388
36178812,0.14353935
36678554,0.15392394
37178529,0.16432692
37678532,0.15748678
38178550,0.1474355
38678538,0.15185234
39178534,0.15150599
39678590,0.1431061
40178534,0.15916626
40678629,0.15180084
41178532,0.15472172
41678548,0.16317938
42178544,0.15272088
42678551,0.14474091
43178596,0.14701313
43678528,0.1488365
44178553,0.1461233
44678529,0.1598556
45178550,0.14196962
45678534,0.13863528
46178545,0.14108059
46678616,0.15043038
47178616,0.14458758
47678532,0.14291205
48178544,0.14037149
48678556,0.1525677
49178580,0.14318582
49678534,0.13991137
50178613,0.14216602
50678547,0.14578998
51178580,0.14703634
51678530,0.1564733
52178574,0.14743495
52678639,0.14045775
53178532,0.12057829
53678677,0.090494834
54178669,0.09946766
54678531,0.08695792
55178581,0.087639175
55678543,0.08738082
56178702,0.07055376
56678580,0.0613387
57178751,0.070066094
57678705,0.08752452
58178537,0.09613827
58678529,0.08706817
59178532,0.06515727
59678794,0.0634795
60178551,0.080042034
60678819,0.08765185
61178755,0.082582705
61678541,0.06478184
62178562,0.06790183
62678534,0.09461041
63178801,0.08569843
63678536,0.09139544
64178531,0.11359385
64678821,0.11037398
65178533,0.13309309
65678535,0.13772337
66178532,0.1490751
66678536,0.1466449
67178537,0.12814613
67678531,0.1446823
68178532,0.14033435
68678536,0.1293733
69178533,0.12162039
69678531,0.11900507
70178544,0.12163837
70678530,0.12536779
71178532,0.13052091
71678534,0.11620635
72178542,0.119651936
72678579,0.15289254
73178530,0.15746301
73678531,0.1447594
74178534,0.15214574
74678530,0.123735875
75178530,0.1543451
75678533,0.17763162
76178554,0.13452792
76678552,0.12770313
77178580,0.13807507
77678531,0.15869787
78178544,0.14194323
78678539,0.12275789
79178535,0.12984933
79678617,0.13213837
80178544,0.14739916
80678668,0.17335872
81178612,0.123448536
81678533,0.12142445
82178567,0.1386839
82678542,0.13985859
83178737,0.12882489
83678565,0.13503578
84178762,0.14617601
84678692,0.14303796
85178530,0.14157201
85678541,0.14982727
86178535,0.13640724
86678807,0.14591713
87178566,0.16394699
87678531,0.14820497
88178542,0.108792305
88678536,0.12449499
89178530,0.1343135
89678535,0.09869128
90178858,0.11175559
90678571,0.098125495
91178533,0.1027197
91678534,0.08215612
92178556,0.0845908
92678577,0.093071006
93178554,0.094650924
93678543,0.11241265
94178530,0.11994351
94678539,0.109934665
95178534,0.1078237
95678532,0.1159443
96178590,0.14882451
96678536,0.1872487
97178535,0.22754094
97678555,0.242271
98178541,0.25148067
98678529,0.25741908
99178546,0.23260818
99678552,0.2378018
100178534,0.25007263
100678608,0.25183842
101178533,0.24491851
101678613,0.2392881
102178532,0.23052238
102678536,0.24468127
103178622,0.24508789
103678530,0.24701384
104178670,0.23711471
104678665,0.2322086
105178603,0.25419334
105678560,0.25820667
106178541,0.24529883
106678724,0.23914874
107178543,0.23523855
107678751,0.24156424
108178698,0.24367343
108678532,0.24857533
109178561,0.247361
109678601,0.23616675
110178789,0.25839427
110678538,0.25537068
111178537,0.24704431
111678828,0.24551529
112178529,0.25460473
112678547,0.24690643
113178546,0.23346923
113678552,0.24362572
114178532,0.24869108
114678568,0.24870436
115178531,0.2584207
115678531,0.2527092
116178549,0.23456801
116678550,0.22994141
117178564,0.24971738
117678532,0.25799727
118178529,0.24880062
118678531,0.24756372
119178536,0.24331431
119678603,0.23948556
120178584,0.24807443
120678564,0.2502867
121178551,0.2380498
121678532,0.22644502
122178529,0.2373112
122678538,0.25415078
123178648,0.2562671
123678557,0.25951037
124178689,0.24683087
124678608,0.23489766
125178584,0.24374057
125678533,0.26681867
126178536,0.25285873
126678668,0.25762907
127178566,0.24744785
127678759,0.2501714
128178704,0.24477698
128678550,0.2452742
129178533,0.23838615
129678534,0.23371309
130178834,0.25520143
130678556,0.25978807
131178855,0.24185711
131678781,0.241668
132178532,0.24248485
132678601,0.24382015
133178536,0.24796094
133678831,0.2504259
134178534,0.23948842
134678532,0.23275606
135178538,0.24049284
135678533,0.25221676
136178547,0.24673165
136678612,0.23489755
137178563,0.23356226
137678531,0.24607691
138178560,0.24608737
138678527,0.25293884
139178530,0.23600368
139678536,0.23418495
140178540,0.25344744
140678574,0.24922167
141178532,0.23846404
141678541,0.23501396
142178530,0.23642297
142678534,0.24348798
143178649,0.24985667
143678554,0.24527611
144178686,0.23846139
144678706,0.23860559
145178537,0.25510117
145678535,0.25007513
146178533,0.23504473
146678755,0.23475647
147178533,0.24074595
147678796,0.24199104
148178758,0.25947848
148678530,0.24726449
149178531,0.23841035
149678531,0.23782039
150178832,0.26078528
150678554,0.25030184
151178529,0.24582984
151678531,0.24049342
152178539,0.23562317
152678532,0.24493912
153178540,0.23765554
153678574,0.24146828
154178552,0.24156265
154678533,0.24063157
155178532,0.2530336
155678552,0.24373226
156178579,0.23375519
156678557,0.24599102
157178584,0.24126634
157678556,0.24423088
158178559,0.25368685
158678549,0.24279957
159178531,0.23412146
159678661,0.24031846
160178571,0.24134381
160678735,0.24809852
161178685,0.24080788
161678563,0.25271443
162178539,0.24717152
162678530,0.23831218
163178804,0.24338901
163678536,0.24318667
164178552,0.24397057
164678788,0.24957645
165178535,0.26939365
165678616,0.25683168
166178558,0.24093528
166678529,0.24912013
167178530,0.23480012
167678531,0.2399716
168178530,0.25152367
168678539,0.24024193
169178590,0.24332769
169678550,0.24473502
170178553,0.24186182
170678592,0.2376935
171178552,0.24428277
171678529,0.24683933
172178591,0.23208384
172678620,0.257423
173178534,0.24546696
173678690,0.25149894
174178615,0.23834701
174678540,0.24633738
175178543,0.24454606
175678566,0.24071874
176178773,0.25481454
176678531,0.24808544
177178808,0.24035247
177678780,0.24023928
178178616,0.24811774
178678528,0.2563121
179178553,0.2458849
179678530,0.24419697
180178595,0.24886031
180678549,0.24484453
181178531,0.2432918
181678535,0.24304132
182178579,0.24278483
182678532,0.24693927
183178534,0.25521192
183678550,0.24573284
184178530,0.24040994
184678546,0.24865209
185178578,0.24566507
