timestamp,bias_x[0],bias_x[1],bias_x[2],bias_x[3],bias_y[0],bias_y[1],bias_y[2],bias_y[3],bias_z[0],bias_z[1],bias_z[2],bias_z[3],valid[0],valid[1],valid[2],valid[3],stable[0],stable[1],stable[2],stable[3]
1400678,-1.8663115e-05,0.0,0.0,0.0,0.00012764917,0.0,0.0,0.0,-0.00013444402,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1454138,-1.1634638e-05,0.0,0.0,0.0,0.00012635023,0.0,0.0,0.0,-0.00012538397,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1594138,4.6192807e-05,0.0,0.0,0.0,-2.6786038e-05,0.0,0.0,0.0,-8.308346e-05,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1794211,7.562063e-06,0.0,0.0,0.0,1.933358e-05,0.0,0.0,0.0,-0.00016951884,0.0,0.0,0.0,0,0,0,0,0,0,0,0
1994139,0.00011719275,0.0,0.0,0.0,3.862152e-05,0.0,0.0,0.0,-0.00017087723,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2194138,8.029296e-05,0.0,0.0,0.0,-8.714552e-05,0.0,0.0,0.0,-4.78283e-05,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2394138,0.00019012927,0.0,0.0,0.0,-2.6745907e-05,0.0,0.0,0.0,-0.0001398133,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2594906,0.0002974309,0.0,0.0,0.0,-0.00028861882,0.0,0.0,0.0,-0.00015866967,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2794137,0.00024981447,0.0,0.0,0.0,-0.00031997307,0.0,0.0,0.0,-0.00013933428,0.0,0.0,0.0,0,0,0,0,0,0,0,0
2994138,0.0004317682,0.0,0.0,0.0,-0.00053697283,0.0,0.0,0.0,-0.00012982229,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3194137,0.00045587192,0.0,0.0,0.0,-0.0006508376,0.0,0.0,0.0,-0.00013881573,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3394178,0.0004492243,0.0,0.0,0.0,-0.00075901154,0.0,0.0,0.0,-0.0002311126,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3594146,0.00048370613,0.0,0.0,0.0,-0.00075608445,0.0,0.0,0.0,-0.00014497731,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3794139,0.00048198394,0.0,0.0,0.0,-0.00065571035,0.0,0.0,0.0,-0.0001769825,0.0,0.0,0.0,0,0,0,0,0,0,0,0
3994958,0.00057379337,0.0,0.0,0.0,-0.00071771204,0.0,0.0,0.0,-0.00010738408,0.0,0.0,0.0,0,0,0,0,0,0,0,0
4194138,0.00064571056,0.0,0.0,0.0,-0.0008311745,0.0,0.0,0.0,-0.00014384309,0.0,0.0,0.0,0,0,0,0,0,0,0,0
