timestamp,x,y,z,yaw,yawspeed,vx,vy,vz,acceleration[0],acceleration[1],acceleration[2],jerk[0],jerk[1],jerk[2],thrust[0],thrust[1],thrust[2]
17796622,0.014426985,0.020807162,-0.8275482,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17816958,0.014397812,0.020805437,-0.8277464,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
17994963,0.014753449,0.020690342,-0.8253316,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18196052,0.014817961,0.020515313,-0.82049054,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18393806,0.014913489,0.020305434,-0.81320626,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18596072,0.015000556,0.02018704,-0.8099742,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18794067,0.015104969,0.020194365,-0.80916935,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
18994917,0.015020684,0.02022007,-0.8089511,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19196620,0.015172586,0.02033,-0.80148727,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19394396,0.015350927,0.02031074,-0.7936354,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19596061,0.015240099,0.020278858,-0.78742176,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19794690,0.01522658,0.02048215,-0.7831247,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
19996160,0.015394554,0.02058939,-0.773479,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20193458,0.014955209,0.020918367,-0.7630287,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20395666,0.014185265,0.020884039,-0.7528328,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20596627,0.014532383,0.020974439,-0.74271363,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20794450,0.014861745,0.020952817,-0.7333396,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
20996140,0.015048566,0.020777605,-0.7264255,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21193876,0.0153715005,0.020733211,-0.7193105,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21396175,0.015602046,0.020731483,-0.71587116,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21593438,0.015699215,0.020812431,-0.71182346,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21794995,0.015719838,0.020840876,-0.7046878,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
21996659,0.015749443,0.020832762,-0.700556,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22194455,0.015950825,0.020830425,-0.6992869,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22396797,0.016031642,0.020832025,-0.6991979,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22593824,0.015927419,0.020814063,-0.70153713,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22796148,0.015748024,0.020770894,-0.7039548,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
22993332,0.015736941,0.020869656,-0.70730454,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23194948,0.0158792,0.020909846,-0.7082196,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23396663,0.01591111,0.020922441,-0.70400965,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23594397,0.015925942,0.020952918,-0.70331776,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23796721,0.015762303,0.020926734,-0.70240617,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
23993874,0.015631858,0.020826597,-0.70149034,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24195538,0.01564213,0.020744918,-0.69625956,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24393327,0.01570502,0.020755718,-0.6902268,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24594993,0.015826892,0.020775769,-0.6858057,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24797282,0.016127976,0.020830829,-0.68009275,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
24994420,0.016248953,0.020880563,-0.67374295,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25196130,0.016358575,0.020917157,-0.6662884,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25393867,0.016478727,0.02090493,-0.6600556,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25596236,0.016762016,0.020852014,-0.65320516,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25793342,0.01645071,0.021156136,-0.64778405,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
25994984,0.01619511,0.021165507,-0.6441233,nan,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
