timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
1681037,1679650,0.0,0.0,0.0,0.74275887,0.74275887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.377682,0.0,0.0,nan,0.0,0.0,0.010582265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2179276,2177950,0.0,0.0,0.0,0.03660534,0.03660531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.804073,0.0,0.0,nan,0.0,0.0,0.010489584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2685464,2684160,0.0,0.0,0.0,0.03686956,0.03686944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1935215,0.0,0.0,nan,0.0,0.0,0.010349924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3183885,3182461,0.0,0.0,0.0,0.033850547,0.03385048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.02721,0.0,0.0,nan,0.0,0.0,0.010249636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3686158,3684718,0.0,0.0,0.0,0.031714395,0.031714372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.017215,0.0,0.0,nan,0.0,0.0,0.010191966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4184422,4183019,0.0,0.0,0.0,0.029238109,0.029238157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.063631,0.0,0.0,nan,0.0,0.0,0.010155618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4686508,4685276,0.0,0.0,0.0,0.027831715,0.027831778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.152945,0.0,0.0,nan,0.0,0.0,0.010130831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5184977,5183579,0.0,0.0,0.0,0.023370104,0.023370098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.214082,0.0,0.0,nan,0.0,0.0,0.096982375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5687004,5685837,0.0,0.0,0.0,0.02107254,0.021072522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.256339,0.0,0.0,nan,0.0,0.0,0.09394029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6185445,6184141,0.0,0.0,0.0,0.023713242,0.023713276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.27738,0.0,0.0,nan,0.0,0.0,0.09275738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6683625,6682445,0.0,0.0,0.0,0.021452442,0.021452492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.274152,0.0,0.0,nan,0.0,0.0,0.09213574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7185944,7184704,0.0,0.0,0.0,0.019260397,0.019260459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.258011,0.0,0.0,nan,0.0,0.0,0.09175902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7684214,7683017,0.0,0.0,0.0,0.017283706,0.017283786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.234058,0.0,0.0,nan,0.0,0.0,0.091512136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8186712,8185269,0.0,0.0,0.0,0.01764717,0.017647244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.199829,0.0,0.0,nan,0.0,0.0,0.09134286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8685039,8683573,0.0,0.0,0.0,0.019106042,0.019106044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.182704,0.0,0.0,nan,0.0,0.0,0.09122382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9187062,9185834,0.0,0.0,0.0,0.019250164,0.01925015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.155842,0.0,0.0,nan,0.0,0.0,0.09113946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
