timestamp,timestamp_sample,hover_thrust,hover_thrust_var,accel_innov,accel_innov_var,accel_innov_test_ratio,accel_noise_var,valid
218224032,218223999,0.14221549,2.1848082e-06,1.0647666,3.456545,0.03644384,3.4353342,1
218326562,218326534,0.14200622,2.1398494e-06,3.2165332,3.5021248,0.32824787,3.5193028,1
218425513,218425487,0.14201538,2.1001658e-06,-2.0049238,3.4732428,0.12859322,3.4778106,1
218524343,218524316,0.14159231,2.0745422e-06,-1.3429868,3.6096363,0.055518482,3.6018853,1
218623501,218623455,0.1415835,2.0459224e-06,1.0846969,3.5223186,0.037114672,3.5018642,1
218726042,218726015,0.14156502,2.0104058e-06,-1.9068029,3.503492,0.11531025,3.5046527,1
218824988,218824949,0.14155087,1.9720944e-06,1.3653215,3.5246272,0.05876438,3.5052567,1
218923869,218923828,0.14145124,1.928011e-06,-1.9762936,3.490423,0.12433183,3.4868956,1
219026651,219026624,0.14218119,1.855223e-06,-0.85087895,3.5232399,0.022832362,3.4944258,1
219125660,219125634,0.14206412,1.8036351e-06,0.9829366,3.4067197,0.03151172,3.3800223,1
219224432,219224393,0.141612,1.7675831e-06,-0.8202712,3.3265214,0.02247409,3.3094356,1
219323185,219323145,0.14158681,1.7373495e-06,1.2939001,3.2836955,0.056649506,3.2671778,1
219426084,219426056,0.14148839,1.7095033e-06,1.8626518,3.1572657,0.12209834,3.1461978,1
219524889,219524862,0.14167836,1.6814438e-06,-1.0405067,3.2732463,0.03675095,3.258356,1
219624020,219623987,0.14165944,1.6545555e-06,2.3252022,3.2019575,0.18761319,3.2003279,1
219727313,219727286,0.1416822,1.6291747e-06,-0.010022961,3.1264193,3.5702801e-06,3.0993266,1
219825544,219825505,0.14162052,1.6016542e-06,1.8975291,3.0064223,0.1330713,2.9993086,1
219924371,219924344,0.14172557,1.5739165e-06,-1.4833281,2.9504356,0.082860164,2.9411418,1
220027242,220027208,0.14194316,1.5492674e-06,-2.1637406,3.0928864,0.16819146,3.0954475,1
220126021,220125994,0.14181907,1.5261738e-06,0.17862484,3.0035458,0.0011803395,2.97881,1
220225088,220225062,0.1419511,1.5033313e-06,0.5319998,3.027039,0.010388729,3.0089388,1
220323958,220323931,0.14185044,1.4819803e-06,3.2329178,2.9560647,0.39285555,2.97648,1
220426582,220426556,0.14184551,1.4633885e-06,0.4937142,3.0659666,0.008833673,3.0426903,1
220525474,220525447,0.14181276,1.4442982e-06,1.0644987,2.9299695,0.042971905,2.9124794,1
220624492,220624399,0.14173278,1.4254163e-06,-3.4754736,3.039348,0.44157562,3.0702443,1
220724035,220724009,0.14179233,1.4085472e-06,-2.5221686,3.025772,0.23359822,3.034594,1
220826173,220826132,0.1418545,1.3928709e-06,0.2009992,3.0214424,0.0014857025,2.9973059,1
220924896,220924869,0.14161508,1.3755025e-06,2.0553844,2.912641,0.16115977,2.9101534,1
221023906,221023880,0.14183913,1.3571502e-06,-1.4632145,2.8797252,0.08260807,2.8702402,1
