timestamp,timestamp_sample,vel_body[0],vel_body[1],vel_ne[0],vel_ne[1],flow_uncompensated_integral[0],flow_uncompensated_integral[1],flow_compensated_integral[0],flow_compensated_integral[1],gyro_rate_integral[0],gyro_rate_integral[1],gyro_rate_integral[2]
8941521,8940543,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,3.603099e-05,-0.0019019733,-3.6030815e-05,-9.802682e-05,-2.2579765e-05
8957330,8956333,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,3.603099e-05,-0.0019019733,-3.6030815e-05,-9.802682e-05,-2.2579765e-05
8981163,8980583,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-7.351566e-05,-9.621955e-05,-8.591936e-06
9000914,8997037,0.0,0.0,0.0,0.0,-0.0020000003,0.0019999999,-0.0018227212,0.0021453705,-0.00017727909,-0.00014537065,-2.2408733e-05
9025114,9020826,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,-0.000132289,-0.00022712737,5.9069447e-05
9040402,9037017,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,-0.000132289,-0.00022712737,5.9069447e-05
9064440,9060643,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,0.0,0.0,-8.4618e-05,-8.896992e-05,-0.00013212686
9087867,9084665,0.0,0.0,0.0,0.0,1.7484555e-10,-0.002,0.0,0.0,-8.4618e-05,-8.896992e-05,-0.00013212686
9104169,9100571,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,2.2494478e-06,0.002036327,-2.2496226e-06,-3.632691e-05,-3.4860543e-05
9119476,9116564,0.0,0.0,0.0,0.0,-1.7484555e-10,0.002,2.2494478e-06,0.002036327,-2.2496226e-06,-3.632691e-05,-3.4860543e-05
9135791,9134558,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-2.4792582e-05,4.5128003e-05,3.490637e-05
9155516,9151836,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1582994e-05,-4.7782294e-05,-8.8794055e-05
9167067,9164862,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1582994e-05,-4.7782294e-05,-8.8794055e-05
9190799,9188881,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.1582994e-05,-4.7782294e-05,-8.8794055e-05
9206979,9204907,0.0,0.0,0.0,0.0,0.0020000006,-0.004,0.0,0.0,4.6646845e-05,-9.740566e-06,-0.00015431471
9234739,9231943,0.0,0.0,0.0,0.0,-0.0020000003,0.0019999999,0.0,0.0,-4.4363347e-05,8.356706e-06,0.00013269068
9257956,9255013,0.0,0.0,0.0,0.0,-0.0020000003,0.0019999999,0.0,0.0,-4.4363347e-05,8.356706e-06,0.00013269068
9269789,9268990,0.0,0.0,0.0,0.0,-0.0020000003,0.0019999999,-0.0020256557,0.0019869418,2.565533e-05,1.3057982e-05,-9.474457e-05
9285897,9284872,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.367456e-05,-4.9812684e-06,2.367456e-05,4.9812684e-06,-2.2397056e-05
9301414,9300758,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.367456e-05,-4.9812684e-06,2.367456e-05,4.9812684e-06,-2.2397056e-05
9317220,9316645,0.0,0.0,0.0,0.0,-0.0,-0.0,-2.367456e-05,-4.9812684e-06,2.367456e-05,4.9812684e-06,-2.2397056e-05
9337186,9334817,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0444538e-06,-2.5877812e-06,4.7340993e-05
9352813,9349600,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.0444538e-06,-2.5877812e-06,4.7340993e-05
9368847,9365584,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.18254e-05,3.0745184e-06,-0.000102381666
9392415,9389633,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.18254e-05,3.0745184e-06,-0.000102381666
9408184,9405362,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,6.797514e-06,-2.5986228e-06,3.8599635e-05
9424398,9421060,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.6591912e-05,-1.8369645e-05,-7.313169e-06
9439818,9436954,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-1.6591912e-05,-1.8369645e-05,-7.313169e-06
9456078,9454946,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,1.534028e-05,-3.4678715e-06,-0.00013785445
9471463,9469760,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,1.534028e-05,-3.4678715e-06,-0.00013785445
9487286,9485752,0.0,0.0,0.0,0.0,0.002,1.7484555e-10,0.0,0.0,1.534028e-05,-3.4678715e-06,-0.00013785445
9503656,9501278,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.3741256e-05,2.0562828e-05,0.000108887165
9518904,9517168,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,1.3741256e-05,2.0562828e-05,0.000108887165
9538900,9535363,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,-3.1962074e-05,-1.5974825e-05,-1.0237502e-05
