timestamp,device_id,voltage_v,voltage_filtered_v,current_a,current_filtered_a,current_average_a,discharged_mah,remaining,scale,time_remaining_s,temperature,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],voltage_cell_v[10],voltage_cell_v[11],voltage_cell_v[12],voltage_cell_v[13],max_cell_voltage_delta,average_power,available_energy,remaining_capacity,design_capacity,nominal_voltage,capacity,cycle_count,average_time_to_empty,serial_number,manufacture_date,state_of_health,max_error,interface_error,average_time_to_full,over_discharge_count,connected,cell_count,source,priority,id,is_powering_off,warning
3791262,0,20.4825,20.486574,0.6454468,0.5436455,0.0,0.5039157,0.92558324,1.0117844,nan,nan,4.097315,4.097315,4.097315,4.097315,4.097315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
3991382,0,20.4825,20.485867,0.6399536,0.5749803,0.0,0.53987366,0.9255712,1.0117576,nan,nan,4.097173,4.097173,4.097173,4.097173,4.097173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
4191250,0,20.4875,20.485735,0.5026245,0.57194513,0.0,0.5715885,0.92556065,1.01177,nan,nan,4.097147,4.097147,4.097147,4.097147,4.097147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
4391281,0,20.48625,20.485928,0.5081177,0.5501535,0.0,0.59936345,0.9255514,1.0118035,nan,nan,4.0971856,4.0971856,4.0971856,4.0971856,4.0971856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
4591263,0,20.48,20.484898,0.7168579,0.59956515,0.0,0.6388782,0.92553824,1.0117569,nan,nan,4.0969796,4.0969796,4.0969796,4.0969796,4.0969796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
4791266,0,20.48,20.484045,0.7141113,0.6318951,0.0,0.67801654,0.9255252,1.0117352,nan,nan,4.096809,4.096809,4.096809,4.096809,4.096809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
4991474,0,20.484999,20.483797,0.5163574,0.6225319,0.0,0.71189106,0.9255139,1.011766,nan,nan,4.0967593,4.0967593,4.0967593,4.0967593,4.0967593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
5191275,0,20.48625,20.484222,0.5163574,0.5881824,0.0,0.7401961,0.9255045,1.0118126,nan,nan,4.0968447,4.0968447,4.0968447,4.0968447,4.0968447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
5391400,0,20.48625,20.484573,0.51086426,0.56417596,0.0,0.76851887,0.9254951,1.0118427,nan,nan,4.096915,4.096915,4.096915,4.096915,4.096915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
5591262,0,20.48625,20.484863,0.5026245,0.5446057,0.0,0.7962726,0.9254858,1.011867,nan,nan,4.0969725,4.0969725,4.0969725,4.0969725,4.0969725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
5791260,0,20.48625,20.485104,0.5081177,0.5326936,0.0,0.82434916,0.92547643,1.0118787,nan,nan,4.0970206,4.0970206,4.0970206,4.0970206,4.0970206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
5991250,0,20.48625,20.4853,0.5163574,0.5254132,0.0,0.8525773,0.925467,1.0118833,nan,nan,4.09706,4.09706,4.09706,4.09706,4.09706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
6191260,0,20.48625,20.485464,0.5026245,0.51806855,0.0,0.8804253,0.9254576,1.0118898,nan,nan,4.0970926,4.0970926,4.0970926,4.0970926,4.0970926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
6391509,0,20.484999,20.485485,0.5081177,0.51388365,0.0,0.9084246,0.92544824,1.011897,nan,nan,4.097097,4.097097,4.097097,4.097097,4.097097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
6591253,0,20.48625,20.485617,0.5081177,0.51212186,0.0,0.9366537,0.9254388,1.011894,nan,nan,4.097123,4.097123,4.097123,4.097123,4.097123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
6791469,0,20.48625,20.485725,0.5026245,0.51036435,0.0,0.964831,0.9254294,1.0118921,nan,nan,4.097145,4.097145,4.097145,4.097145,4.097145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
6991266,0,20.48625,20.485815,0.5026245,0.50761795,0.0,0.9926536,0.9254201,1.011893,nan,nan,4.097163,4.097163,4.097163,4.097163,4.097163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
7191250,0,20.484999,20.485672,0.51086426,0.50746554,0.0,1.0208056,0.92541075,1.0119004,nan,nan,4.0971346,4.0971346,4.0971346,4.0971346,4.0971346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
7391572,0,20.484999,20.485554,0.51086426,0.50926703,0.0,1.0493395,0.9254013,1.0119027,nan,nan,4.0971107,4.0971107,4.0971107,4.0971107,4.0971107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
7591291,0,20.48625,20.485569,0.51086426,0.5097551,0.0,1.0777225,0.92539185,1.011901,nan,nan,4.0971136,4.0971136,4.0971136,4.0971136,4.0971136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
7791609,0,20.48625,20.485685,0.5163574,0.5083393,0.0,1.1057208,0.92538255,1.011898,nan,nan,4.097137,4.097137,4.097137,4.097137,4.097137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
7991259,0,20.48375,20.48545,0.6069946,0.52703995,0.0,1.1371537,0.9253721,1.0118728,nan,nan,4.0970902,4.0970902,4.0970902,4.0970902,4.0970902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
8191383,0,20.4825,20.485144,0.5960083,0.53819543,0.0,1.1683011,0.92536175,1.0118659,nan,nan,4.0970287,4.0970287,4.0970287,4.0970287,4.0970287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
8391268,0,20.484999,20.485117,0.5355835,0.5358715,0.0,1.1977334,0.925352,1.0118718,nan,nan,4.0970235,4.0970235,4.0970235,4.0970235,4.0970235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
8591266,0,20.484999,20.485096,0.5328369,0.5364702,0.0,1.2276407,0.925342,1.0118717,nan,nan,4.097019,4.097019,4.097019,4.097019,4.097019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
8791250,0,20.484999,20.485077,0.52459717,0.5343682,0.0,1.2570901,0.92533225,1.0118767,nan,nan,4.0970154,4.0970154,4.0970154,4.0970154,4.0970154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
8991257,0,20.484999,20.485062,0.5328369,0.5339003,0.0,1.286693,0.92532235,1.0118784,nan,nan,4.0970125,4.0970125,4.0970125,4.0970125,4.0970125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
9191459,0,20.484999,20.48505,0.5328369,0.5335754,0.0,1.3162947,0.92531246,1.0118796,nan,nan,4.09701,4.09701,4.09701,4.09701,4.09701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
9391263,0,20.484999,20.485039,0.52734375,0.5316713,0.0,1.3455915,0.9253027,1.0118839,nan,nan,4.0970078,4.0970078,4.0970078,4.0970078,4.0970078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
9591413,0,20.484999,20.485031,0.5355835,0.5317223,0.0,1.3751382,0.92529285,1.0118841,nan,nan,4.0970063,4.0970063,4.0970063,4.0970063,4.0970063,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
9791251,0,20.484999,20.484922,0.5328369,0.53397024,0.0,1.4050999,0.92528284,1.011885,nan,nan,4.0969844,4.0969844,4.0969844,4.0969844,4.0969844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000,0,0,0,0,0,0,0,0,0,1,5,0,0,1,0,0
