timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1427126,0.0,0.0,0.0,0.0
1431041,0.0,0.0,0.0,0.0
1450852,0.0,0.0,0.0,0.0
1470617,0.0,0.0,0.0,0.0
1490348,0.0,0.0,0.0,0.0
1510109,0.0,0.0,0.0,0.0
1529883,0.0,0.0,0.0,0.0
1549663,0.0,0.0,0.0,0.0
1569443,0.0,0.0,0.0,0.0
1589210,0.0,0.0,0.0,0.0
1612941,0.0,0.0,0.0,0.0
1628755,0.0,0.0,0.0,0.0
1648544,0.0,0.0,0.0,0.0
1672265,0.0,0.0,0.0,0.0
1688087,0.0,0.0,0.0,0.0
1707848,0.0,0.0,0.0,0.0
1731575,0.0,0.0,0.0,0.0
1751356,0.0,0.0,0.0,0.0
1767212,0.0,0.0,0.0,0.0
1790903,0.0,0.0,0.0,0.0
1810756,0.0,0.0,0.0,0.0
1826490,0.0,0.0,0.0,0.0
1850235,0.0,0.0,0.0,0.0
1870001,0.0,0.0,0.0,0.0
1889776,0.0,0.0,0.0,0.0
1909540,0.0,0.0,0.0,0.0
1929319,0.0,0.0,0.0,0.0
1949087,0.0,0.0,0.0,0.0
1968871,0.0,0.0,0.0,0.0
1988634,0.0,0.0,0.0,0.0
2012370,0.0,0.0,0.0,0.0
2032145,0.0,0.0,0.0,0.0
2047957,0.0,0.0,0.0,0.0
2071693,0.0,0.0,0.0,0.0
2091467,0.0,0.0,0.0,0.0
2107287,0.0,0.0,0.0,0.0
2131010,0.0,0.0,0.0,0.0
2150788,0.0,0.0,0.0,0.0
2170554,0.0,0.0,0.0,0.0
2190336,0.0,0.0,0.0,0.0
2210106,0.0,0.0,0.0,0.0
2229881,0.0,0.0,0.0,0.0
2249654,0.0,0.0,0.0,0.0
2273380,0.0,0.0,0.0,0.0
2289198,0.0,0.0,0.0,0.0
2308968,0.0,0.0,0.0,0.0
2328740,0.0,0.0,0.0,0.0
2348513,0.0,0.0,0.0,0.0
2372245,0.0,0.0,0.0,0.0
2388072,0.0,0.0,0.0,0.0
2407838,0.0,0.0,0.0,0.0
2431563,0.0,0.0,0.0,0.0
2451335,0.0,0.0,0.0,0.0
2467283,0.0,0.0,0.0,0.0
2490953,0.0,0.0,0.0,0.0
2510664,0.0,0.0,0.0,0.0
2530441,0.0,0.0,0.0,0.0
2550221,0.0,0.0,0.0,0.0
2569990,0.0,0.0,0.0,0.0
2589764,0.0,0.0,0.0,0.0
