timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1426545,32767,32767,32767,32767,32767,32767
1430500,32767,32767,32767,7,32767,32767
1434455,32767,32767,32767,32767,32767,32767
1438414,32767,32767,32767,32767,1,32767
1442364,32767,32767,32767,32767,32767,32767
1446319,32767,32767,32767,32767,32767,32767
1450274,32767,32767,32767,32767,32767,32767
1454229,32767,32767,32767,32767,32767,32767
1458183,32767,32767,32767,32767,32767,32767
1462138,32767,32767,32767,32767,32767,32767
1466093,32767,32767,32767,32767,32767,32767
1470048,32767,32767,32767,32767,32767,32767
1474002,32767,32767,32767,32767,32767,32767
1477960,32767,32767,32767,32767,32767,32767
1481912,32767,32767,32767,32767,32767,32767
1485867,32767,32767,32767,32767,32767,32767
1489822,32767,32767,32767,32767,-14,32767
1493776,32767,32767,32767,32767,32767,32767
1497736,32767,32767,32767,32767,32767,32767
1501686,32767,32767,32767,32767,32767,32767
1505640,32767,32767,32767,32767,32767,32767
1509595,32767,32767,32767,32767,32767,32767
1513550,32767,32767,32767,32767,32767,32767
1517505,32767,32767,32767,1,32767,32767
1521459,32767,32767,32767,32767,32767,32767
1525414,32767,32767,32767,32767,32767,32767
1529369,32767,32767,32767,32767,32767,32767
1533324,32767,32767,32767,32767,32767,32767
1537282,32767,32767,32767,32767,32767,32767
1541233,32767,32767,32767,32767,-27,32767
1545188,32767,32767,32767,32767,32767,32767
1549143,32767,32767,32767,32767,32767,32767
1553097,32767,32767,32767,32767,32767,32767
1557052,32767,32767,32767,32767,32767,32767
1561007,32767,32767,32767,32767,32767,32767
1564962,32767,32767,32767,32767,32767,32767
1568917,32767,32767,32767,32767,32767,32767
1572871,32767,32767,32767,32767,32767,32767
1576826,32767,32767,32767,32767,32767,32767
1580781,32767,32767,32767,32767,32767,32767
1584737,32767,32767,32767,32767,32767,32767
1588690,32767,32767,32767,32767,-2,32767
1592645,32767,32767,32767,32767,32767,32767
1596600,32767,32767,32767,32767,32767,32767
1600555,32767,32767,32767,32767,32767,32767
1604509,32767,32767,32767,-4,32767,32767
1608464,32767,32767,32767,32767,32767,32767
1612423,32767,32767,32767,32767,32767,32767
1616374,32767,32767,32767,32767,32767,32767
1620330,32767,32767,32767,32767,32767,32767
1624283,32767,32767,32767,32767,32767,32767
1628238,32767,32767,32767,32767,32767,32767
1632194,32767,32767,32767,32767,32767,32767
1636147,32767,32767,32767,32767,32767,32767
1640105,32767,32767,32767,32767,-17,32767
1644057,32767,32767,32767,32767,32767,32767
1648012,32767,32767,32767,32767,32767,32767
1651966,32767,32767,32767,32767,32767,32767
1655921,32767,32767,32767,32767,32767,32767
1659876,32767,32767,32767,32767,32767,32767
1663831,32767,32767,32767,32767,32767,32767
1667785,32767,32767,32767,32767,32767,32767
1671740,32767,32767,32767,32767,32767,32767
1675695,32767,32767,32767,32767,32767,32767
1679650,32767,32767,32767,32767,32767,32767
1683605,32767,32767,32767,32767,32767,32767
1687559,32767,32767,32767,32767,32767,32767
1691514,32767,32767,32767,-7,-31,32767
1695469,32767,32767,32767,32767,32767,32767
1699424,32767,32767,32767,32767,32767,32767
1703378,32767,32767,32767,32767,32767,32767
1707333,32767,32767,32767,32767,32767,32767
1711289,32767,32767,32767,32767,32767,32767
1715243,32767,32767,32767,32767,32767,32767
1719197,32767,32767,32767,32767,32767,32767
1723152,32767,32767,32767,32767,32767,32767
1727107,32767,32767,32767,32767,32767,32767
1731062,32767,32767,32767,32767,32767,32767
1735017,32767,32767,32767,32767,32767,32767
1738971,32767,32767,32767,32767,-5,32767
1742926,32767,32767,32767,32767,32767,32767
1746881,32767,32767,32767,32767,32767,32767
1750836,32767,32767,32767,32767,32767,32767
1754790,32767,32767,32767,32767,32767,32767
1758745,32767,32767,32767,32767,32767,32767
1762700,32767,32767,32767,32767,32767,32767
1766655,32767,32767,32767,32767,32767,32767
1770609,32767,32767,32767,32767,32767,32767
1774564,32767,32767,32767,32767,32767,32767
1778524,32767,32767,32767,-12,32767,32767
1782474,32767,32767,32767,32767,32767,32767
1786428,32767,32767,32767,32767,32767,32767
1790383,32767,32767,32767,32767,-19,32767
1794338,32767,32767,32767,32767,32767,32767
1798293,32767,32767,32767,32767,32767,32767
1802247,32767,32767,32767,32767,32767,32767
1806202,32767,32767,32767,32767,32767,32767
1810161,32767,32767,32767,32767,32767,32767
1814119,32767,32767,32767,32767,32767,32767
1818066,32767,32767,32767,32767,32767,32767
1822023,32767,32767,32767,32767,32767,32767
1825976,32767,32767,32767,32767,32767,32767
1829931,32767,32767,32767,32767,32767,32767
1833885,32767,32767,32767,32767,32767,32767
1837840,32767,32767,32767,32767,8,32767
1841795,32767,32767,32767,32767,32767,32767
1845751,32767,32767,32767,32767,32767,32767
1849704,32767,32767,32767,32767,32767,32767
1853659,32767,32767,32767,32767,32767,32767
1857614,32767,32767,32767,32767,32767,32767
1861569,32767,32767,32767,32767,32767,32767
1865524,32767,32767,32767,-16,32767,32767
1869478,32767,32767,32767,32767,32767,32767
1873433,32767,32767,32767,32767,32767,32767
1877388,32767,32767,32767,32767,32767,32767
1881344,32767,32767,32767,32767,32767,32767
1885297,32767,32767,32767,32767,32767,32767
1889252,32767,32767,32767,32767,-8,32767
1893207,32767,32767,32767,32767,32767,32767
1897162,32767,32767,32767,32767,32767,32767
1901116,32767,32767,32767,32767,32767,32767
1905071,32767,32767,32767,32767,32767,32767
1909026,32767,32767,32767,32767,32767,32767
1912981,32767,32767,32767,32767,32767,32767
1916940,32767,32767,32767,32767,32767,32767
1920890,32767,32767,32767,32767,32767,32767
1924845,32767,32767,32767,32767,32767,32767
1928800,32767,32767,32767,32767,32767,32767
1932755,32767,32767,32767,32767,32767,32767
1936710,32767,32767,32767,32767,32767,32767
1940664,32767,32767,32767,32767,-21,32767
1944619,32767,32767,32767,32767,32767,32767
1948573,32767,32767,32767,32767,32767,32767
1952528,32767,32767,32767,-20,32767,32767
1956483,32767,32767,32767,32767,32767,32767
1960438,32767,32767,32767,32767,32767,32767
1964393,32767,32767,32767,32767,32767,32767
1968348,32767,32767,32767,32767,32767,32767
1972302,32767,32767,32767,32767,32767,32767
1976257,32767,32767,32767,32767,32767,32767
1980212,32767,32767,32767,32767,32767,32767
1984166,32767,32767,32767,32767,32767,32767
1988121,32767,32767,32767,32767,3,32767
1992076,32767,32767,32767,32767,32767,32767
1996031,32767,32767,32767,32767,32767,32767
1999986,32767,32767,32767,32767,32767,32767
2003940,32767,32767,32767,32767,32767,32767
2007895,32767,32767,32767,32767,32767,32767
2011850,32767,32767,32767,32767,32767,32767
2015805,32767,32767,32767,32767,32767,32767
2019759,32767,32767,32767,32767,32767,32767
2023717,32767,32767,32767,32767,32767,32767
2027669,32767,32767,32767,32767,32767,32767
2031623,32767,32767,32767,32767,32767,32767
2035579,32767,32767,32767,32767,32767,32767
2039533,32767,32767,32767,-23,-11,32767
2043488,32767,32767,32767,32767,32767,32767
2047443,32767,32767,32767,32767,32767,32767
2051397,32767,32767,32767,32767,32767,32767
2055352,32767,32767,32767,32767,32767,32767
2059307,32767,32767,32767,32767,32767,32767
2063262,32767,32767,32767,32767,32767,32767
2067216,32767,32767,32767,32767,32767,32767
2071171,32767,32767,32767,32767,32767,32767
2075126,32767,32767,32767,32767,32767,32767
2079081,32767,32767,32767,32767,32767,32767
2083035,32767,32767,32767,32767,32767,32767
2086990,32767,32767,32767,32767,32767,32767
2090945,32767,32767,32767,32767,-25,32767
2094900,32767,32767,32767,32767,32767,32767
2098855,32767,32767,32767,32767,32767,32767
2102809,32767,32767,32767,32767,32767,32767
2106764,32767,32767,32767,32767,32767,32767
2110719,32767,32767,32767,32767,32767,32767
2114674,32767,32767,32767,32767,32767,32767
2118628,32767,32767,32767,32767,32767,32767
2122583,32767,32767,32767,32767,32767,32767
2126538,32767,32767,32767,-28,32767,32767
2130493,32767,32767,32767,32767,32767,32767
2134447,32767,32767,32767,32767,32767,32767
2138402,32767,32767,32767,32767,0,32767
2142357,32767,32767,32767,32767,32767,32767
2146312,32767,32767,32767,32767,32767,32767
2150266,32767,32767,32767,32767,32767,32767
2154221,32767,32767,32767,32767,32767,32767
2158176,32767,32767,32767,32767,32767,32767
2162131,32767,32767,32767,32767,32767,-10
2166086,32767,32767,32767,32767,32767,32767
2170040,32767,32767,32767,32767,32767,32767
2173995,32767,32767,32767,32767,32767,32767
2177950,32767,32767,32767,32767,32767,32767
2181905,32767,32767,32767,32767,32767,32767
2185859,32767,32767,32767,32767,32767,32767
2189814,32767,32767,32767,32767,-13,32767
2193769,32767,32767,32767,32767,32767,-6
2197724,32767,32767,32767,32767,32767,32767
2201678,32767,32767,32767,32767,32767,32767
2205633,32767,32767,32767,32767,32767,32767
2209588,32767,32767,32767,8,32767,32767
2213543,32767,32767,32767,32767,32767,32767
2217497,32767,32767,32767,32767,32767,32767
2221452,32767,32767,32767,32767,32767,32767
2225425,32767,32767,32767,32767,32767,32767
2229362,32767,32767,32767,32767,32767,-12
2233316,32767,32767,32767,32767,32767,32767
2237271,32767,32767,32767,32767,32767,32767
2241226,32767,32767,32767,32767,-27,32767
2245181,32767,32767,32767,32767,32767,32767
2249135,32767,32767,32767,32767,32767,32767
2253090,32767,32767,32767,32767,32767,32767
2257045,32767,32767,32767,32767,32767,32767
2261000,32767,32767,32767,32767,32767,-9
2264955,32767,32767,32767,32767,32767,32767
2272864,32767,32767,32767,32767,32767,32767
2276819,32767,32767,32767,32767,32767,32767
2280773,32767,32767,32767,32767,32767,32767
2284731,32767,32767,32767,32767,32767,32767
2288683,32767,32767,32767,32767,-2,32767
2292638,32767,32767,32767,32767,32767,32767
2296593,32767,32767,32767,4,32767,-25
2300547,32767,32767,32767,32767,32767,32767
2304502,32767,32767,32767,32767,32767,32767
2308457,32767,32767,32767,32767,32767,32767
2312412,32767,32767,32767,32767,32767,32767
2316366,32767,32767,32767,32767,32767,32767
2320321,32767,32767,32767,32767,32767,32767
2324276,32767,32767,32767,32767,32767,32767
2328231,32767,32767,32767,32767,32767,-21
2332186,32767,32767,32767,32767,32767,32767
2336140,32767,32767,32767,32767,32767,32767
