timestamp,timestamp_sample,baro_device_id,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
92447575,92424957,6780449,189.15045,48.12,99073.62,1.1771585
92534210,92511563,6780449,189.04211,48.11,99074.875,1.1771734
92620796,92598156,6780449,188.99983,48.12,99075.38,1.1771795
92707386,92684763,6780449,189.20593,48.1,99072.95,1.1771506
92793981,92771357,6780449,188.95227,48.1,99075.95,1.1771863
92880597,92857958,6780449,189.10815,48.1,99074.1,1.1771642
92967273,92944632,6780449,189.0104,48.1,99075.24,1.1771778
93053779,93031156,6780449,188.80167,48.09,99077.734,1.1772074
93140616,93117758,6780449,188.95755,48.09,99075.87,1.1771852
93226980,93204356,6780449,188.87828,48.09,99076.82,1.1771965
93313582,93290955,6780449,189.03682,48.079998,99074.95,1.1771743
93400211,93377563,6780449,189.13986,48.07,99073.734,1.1771599
93486776,93464157,6780449,188.88622,48.07,99076.734,1.1771954
93573378,93550758,6780449,189.0104,48.07,99075.266,1.177178
93659983,93637358,6780449,188.9972,48.07,99075.42,1.1771798
93746607,93723971,6780449,188.98398,48.07,99075.555,1.1771815
93833221,93810717,6780449,188.98926,48.07,99075.5,1.1771808
93919822,93897185,6780449,189.03154,48.059998,99075.016,1.177175
94006379,93983761,6780449,188.94699,48.07,99075.99,1.1771866
94092976,94070355,6780449,189.0844,48.059998,99074.4,1.1771677
94179571,94156957,6780449,188.93378,48.059998,99076.16,1.1771886
94266282,94243604,6780449,188.98662,48.059998,99075.52,1.1771811
94352786,94330157,6780449,188.99454,48.05,99075.45,1.1771803
94439440,94416759,6780449,188.90207,48.059998,99076.52,1.1771929
94525990,94503356,6780449,188.90736,48.059998,99076.46,1.1771922
94612741,94590058,6780449,188.84657,48.05,99077.19,1.1772009
94699213,94676563,6780449,188.92584,48.05,99076.25,1.1771897
94785840,94763155,6780449,188.82014,48.05,99077.49,1.1772045
94872382,94849758,6780449,188.68805,48.039997,99079.06,1.1772232
94958983,94936356,6780449,188.82278,48.05,99077.47,1.1772043
95045649,95022958,6780449,188.79639,48.039997,99077.77,1.1772078
95132212,95109564,6780449,188.66954,48.05,99079.28,1.1772258
95218776,95196160,6780449,188.68805,48.039997,99079.055,1.1772231
95305380,95282757,6780449,188.55064,48.05,99080.69,1.1772424
95392055,95369356,6780449,188.50307,48.039997,99081.234,1.177249
95478582,95456036,6780449,188.38945,48.039997,99082.59,1.1772652
95565221,95542560,6780449,188.2864,48.039997,99083.81,1.1772796
95651986,95629156,6780449,188.2362,48.05,99084.375,1.1772863
95738397,95715767,6780449,188.22034,48.039997,99084.56,1.1772885
95824981,95802359,6780449,188.21506,48.039997,99084.65,1.1772895
95911580,95888958,6780449,188.36568,48.03,99082.86,1.1772683
95998208,95975561,6780449,188.28905,48.03,99083.766,1.1772791
96084802,96062157,6780449,188.1358,48.02,99085.57,1.1773006
96171377,96148758,6780449,188.02483,48.03,99086.875,1.1773161
96258022,96235358,6780449,188.15428,48.02,99085.35,1.177298
96344579,96322091,6780449,188.22563,48.02,99084.51,1.1772878
96431207,96408563,6780449,188.0301,48.02,99086.81,1.1773152
96518043,96495155,6780449,188.0671,48.02,99086.375,1.17731
96604465,96581762,6780449,188.15164,48.01,99085.37,1.1772981
96690976,96668358,6780449,187.9984,48.02,99087.2,1.1773199
96777603,96754958,6780449,188.17543,48.02,99085.12,1.1772951
96864210,96841563,6780449,188.00896,48.02,99087.07,1.1773183
96950810,96928157,6780449,188.24413,48.02,99084.305,1.1772854
97037400,97014756,6780449,188.149,48.01,99085.43,1.1772989
97124266,97101459,6780449,188.0433,48.02,99086.66,1.1773134
97210577,97187957,6780449,188.26262,48.02,99084.08,1.1772827
97297280,97274578,6780449,188.13844,48.01,99085.54,1.1773001
97383791,97361157,6780449,187.94026,48.02,99087.87,1.1773278
97470380,97447758,6780449,188.00104,48.01,99087.15,1.1773193
97557001,97534356,6780449,187.93762,48.01,99087.91,1.1773282
97643576,97620957,6780449,187.95348,48.01,99087.734,1.1773262
