timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,samples
1399464,1398862,2490386,0.013841476,0.0036784313,0.0047817524,46.369263,0,32
1403408,1402817,2490386,0.013410557,0.0024210615,0.0043924674,46.340958,0,32
1502353,1501686,2490386,0.013285653,0.0008805752,0.007671205,46.42965,0,32
1601210,1600555,2490386,0.015896153,0.0035743443,0.0049878443,46.395683,0,32
1703972,1703378,2490386,0.015789984,0.0025084943,0.004738036,46.431538,0,32
1802897,1802247,2490386,0.01116228,0.0020859016,0.0040198364,46.33341,0,32
1901724,1901116,2490386,0.015904479,0.0041780486,0.0028977795,46.405117,0,32
2004539,2003940,2490386,0.017201401,0.002797856,0.0034536035,46.395683,0,32
2103481,2102809,2490386,0.014395219,0.002425225,0.0040739616,46.44852,0,32
2202343,2201678,2490386,0.015660916,0.0024939221,0.0039136675,46.36738,0,32
2301226,2300547,2490386,0.013302307,0.0019110356,0.0029206786,46.459843,0,32
2404018,2403371,2490386,0.012567453,0.0033640887,0.003990692,46.46928,0,32
2502836,2502240,2490386,0.015546421,0.002242032,0.0033411896,46.548534,0,32
2601773,2601110,2490386,0.010485715,0.0018298478,0.003218367,46.46173,0,32
2704534,2703934,2490386,0.014359829,0.0014114184,0.0069134524,46.56552,0,32
2803401,2802803,2490386,0.015042639,0.004690156,0.00976127,46.505135,0,32
2902331,2901672,2490386,0.015696306,0.0023440372,0.00699464,46.510796,0,32
3001187,3000541,2490386,0.0147199705,0.003147588,0.008591333,46.5391,0,32
3104034,3103366,2490386,0.013096214,0.003060155,0.005897564,46.495697,0,32
3198875,3198280,2490386,0.013283571,0.0014842793,0.0037388017,46.46173,0,32
3301802,3301104,2490386,0.013104541,0.0025147395,0.0040011005,46.53155,0,32
3404571,3403928,2490386,0.011360045,0.0030643186,0.0038616243,46.535328,0,32
3503451,3502797,2490386,0.01639785,0.00022066424,0.0010179699,46.586277,0,32
3602325,3601667,2490386,0.01117477,0.00418013,0.003974038,46.452297,0,32
3701224,3700537,2490386,0.019778594,0.0023190563,0.0040344084,46.55986,0,32
3803952,3803360,2490386,0.021421084,0.004952455,-0.0044278568,46.601376,0,32
3898929,3898275,2490386,0.013362677,0.004369568,0.003124689,46.633453,0,32
4001754,4001100,2490386,0.010641845,0.003759619,0.0022232963,46.60326,0,32
4104573,4103923,2490386,0.012919267,0.007752393,0.0010845856,46.591938,0,32
4203405,4202793,2490386,0.016358297,0.0016008565,0.002346119,46.563633,0,32
4302268,4301662,2490386,0.015777493,0.0037429652,0.0008576761,46.586277,0,32
4401134,4400532,2490386,0.013529216,0.00276663,0.001994305,46.5542,0,32
4503942,4503356,2490386,0.016506102,0.0055290964,0.0008805752,46.584393,0,32
4602830,4602234,2490386,0.015993994,0.0071028904,0.0053125955,46.67497,0,32
4701719,4701096,2490386,0.014774095,4.163476e-05,0.0016529,46.590054,0,32
4804530,4803920,2490386,0.01600024,0.0018527469,0.0062431325,46.633453,0,32
4903390,4902789,2490386,0.016733011,0.0025563743,0.010989496,46.657986,0,32
5002345,5001659,2490386,0.015075947,0.0053625572,0.0113538,46.686295,0,32
5101182,5100529,2490386,0.011022803,0.0013614567,0.010364974,46.70705,0,32
5203944,5203353,2490386,0.01632499,-0.00035597722,0.008872367,46.69573,0,32
5298869,5298268,2490386,0.0110019855,0.0039865286,0.0077628014,46.684406,0,32
5401749,5401094,2490386,0.014101694,0.0012802689,0.004881676,46.665535,0,32
5504504,5503917,2490386,0.016514428,0.0016695539,0.0044299387,46.599487,0,32
5603435,5602787,2490386,0.015073866,0.0042405007,0.007519238,46.654213,0,32
5702262,5701656,2490386,0.013364758,0.0041697216,0.0034078052,46.665535,0,32
5801172,5800526,2490386,0.012124043,0.0051752008,0.002194152,46.663647,0,32
5903936,5903351,2490386,0.01327108,0.000699464,0.003384906,46.70705,0,32
6002910,6002220,2490386,0.013104541,0.0025168213,0.00321004,46.665535,0,32
