timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_type_parachute,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy,parachute_system_healthy
2274998,1200.0,0.6000204,200.72481,0.0,6,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3029881,1200.0,0.6000204,200.72481,0.0,14,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3781057,1200.0,0.6000204,263.92764,0.0,19,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5287536,1200.0,0.4424876,494.96405,0.0,38,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6055896,1200.0,0.4424876,494.96405,0.0,47,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6807102,1200.0,0.4424876,393.33487,0.0,61,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8306093,1200.0,0.4382838,401.83804,0.0,80,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9072980,1200.0,0.4382838,401.83804,0.0,95,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9816927,1200.0,0.4382838,640.9279,0.0,103,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11323735,1200.0,0.4382838,354.76434,0.0,128,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12072023,1200.0,0.4382838,354.76434,0.0,134,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12831889,1200.0,0.4382838,534.9048,0.0,145,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14341397,1200.0,0.4324832,614.68774,0.0,170,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15097544,1200.0,0.4324832,614.68774,0.0,179,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15851853,1200.0,0.4324832,381.57687,0.0,194,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17359216,1200.0,0.4324832,429.14044,0.0,212,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18111915,1200.0,0.41796264,429.14044,0.0,230,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18870444,1200.0,0.41796264,637.10486,0.0,244,0,0.0,0,0,0,0,0,0.0,0,0,1,1,0,1,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
