timestamp,timestamp_sample,gps_hvel[0],gps_hvel[1],gps_vvel,gps_hpos[0],gps_hpos[1],gps_vpos,ev_hvel[0],ev_hvel[1],ev_vvel,ev_hpos[0],ev_hpos[1],ev_vpos,rng_vpos,baro_vpos,aux_hvel[0],aux_hvel[1],aux_vvel,flow[0],flow[1],heading,mag_field[0],mag_field[1],mag_field[2],drag[0],drag[1],airspeed,beta,hagl
1681027,1679650,0.0,0.0,0.0,0.0006761171,0.000105103296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05091858,0.0,0.0,nan,0.0,0.0,0.00034835935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2191239,2189814,0.0,0.0,0.0,0.0011203501,5.899272e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20101929,0.0,0.0,nan,0.0,0.0,0.0002990067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2685454,2684160,0.0,0.0,0.0,0.00027802782,-0.001201485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025314331,0.0,0.0,nan,0.0,0.0,0.00014093518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3183874,3182461,0.0,0.0,0.0,-0.0010943776,-0.0014685886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23156738,0.0,0.0,nan,0.0,0.0,-0.00012874603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3686143,3684718,0.0,0.0,0.0,-0.0019063408,-0.0018831267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26835632,0.0,0.0,nan,0.0,0.0,-7.18534e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4184413,4183019,0.0,0.0,0.0,-0.0012306802,-0.0013399085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19856262,0.0,0.0,nan,0.0,0.0,-0.00014802814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4686498,4685276,0.0,0.0,0.0,-0.00082861335,-0.00097413466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32733154,0.0,0.0,nan,0.0,0.0,7.6293945e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5184968,5183579,0.0,0.0,0.0,-0.00048785663,-0.00049099623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14833069,0.0,0.0,nan,0.0,0.0,0.030790687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5686995,5685837,0.0,0.0,0.0,-0.0005997041,-0.0007350978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19392395,0.0,0.0,nan,0.0,0.0,0.040992036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6185435,6184141,0.0,0.0,0.0,-0.00062507356,-0.0006112365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22885132,0.0,0.0,nan,0.0,0.0,0.077006295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6683615,6682445,0.0,0.0,0.0,-0.0005652365,-0.00040930152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022979736,0.0,0.0,nan,0.0,0.0,-0.02293399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7185934,7184704,0.0,0.0,0.0,-0.00044009305,-0.00041839073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07644653,0.0,0.0,nan,0.0,0.0,0.020497262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7684204,7683017,0.0,0.0,0.0,-0.0008064983,-0.00034819072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.14875793,0.0,0.0,nan,0.0,0.0,-0.053246826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8186701,8185269,0.0,0.0,0.0,-0.0010977993,-0.0005748515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.29951477,0.0,0.0,nan,0.0,0.0,0.031323567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8685029,8683573,0.0,0.0,0.0,-0.0010554426,-0.00080311537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09490967,0.0,0.0,nan,0.0,0.0,-0.048989356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9187053,9185834,0.0,0.0,0.0,-0.0013405429,-0.00044159038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.21691895,0.0,0.0,nan,0.0,0.0,-0.019876122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9685313,9684139,0.0,0.0,0.0,-0.00019068482,-0.00054901204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20872498,0.0,0.0,nan,0.0,0.0,0.027542353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10187655,10186400,0.0,0.0,0.0,-1.330829e-05,-0.0006553244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.010620117,0.0,0.0,nan,0.0,0.0,-0.09708348,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10685892,10684706,0.0,0.0,0.0,-0.00026792762,-0.0005993759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.088531494,0.0,0.0,nan,0.0,0.0,-0.45631057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11184187,11183013,0.0,0.0,0.0,-0.00040845695,-0.0006711494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07946777,0.0,0.0,nan,0.0,0.0,0.007027298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11686438,11685274,0.0,0.0,0.0,-3.4261684e-05,-0.00054626627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027801514,0.0,0.0,nan,0.0,0.0,0.012567759,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12184752,12183582,0.0,0.0,0.0,-1.0616224e-05,-0.0006090642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09840393,0.0,0.0,nan,0.0,0.0,0.01451686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12686999,12685844,0.0,0.0,0.0,-0.00014722618,-0.0005635155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27972412,0.0,0.0,nan,0.0,0.0,0.022144139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13185981,13184151,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035324097,0.0,0.0,nan,0.01284174,-0.031302147,-0.0039071143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13683617,13682459,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39219666,0.0,0.0,nan,-0.006612036,-0.021743556,0.07908514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14185957,14184725,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25416565,0.0,0.0,nan,-0.014770685,-0.017593209,0.11263114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14684857,14683030,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038619995,0.0,0.0,nan,0.006713409,0.039389636,-0.08552086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15187038,15185293,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026123047,0.0,0.0,nan,-0.0106806215,0.0032807575,-0.022985697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15684801,15683601,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045700073,0.0,0.0,nan,0.03106241,-3.457244e-05,-0.02836135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16187010,16185865,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.078323364,0.0,0.0,nan,0.0050579943,-0.07287265,0.053832978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16685999,16684174,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2584076,0.0,0.0,nan,-0.086620755,-0.006044447,-0.15917215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17183804,17182483,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.098236084,0.0,0.0,nan,-0.014698806,0.0021948332,-0.13010234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17685976,17684748,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23406982,0.0,0.0,nan,0.0103545375,-0.013285451,-0.07494116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18184991,18183056,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006576538,0.0,0.0,nan,-0.006065073,-0.011290305,0.033466995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18686545,18685321,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.115234375,0.0,0.0,nan,-0.004346675,0.0057037286,0.054886013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19185667,19183630,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.057434082,0.0,0.0,nan,0.0025795305,0.063497156,-0.033148795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19687108,19685895,0.0,0.0,0.0,-0.00023650369,-0.00047017637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05154419,0.0,0.0,nan,-0.007631544,-0.13280354,-0.11152086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
