timestamp,timestamp_sample,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],n_states
1692866,1691514,0.9903907,0.0006691864,0.0056023533,0.13818274,0.002994564,0.0013645912,0.010200281,0.00015911166,4.749346e-05,-0.13589837,-3.5297557e-08,9.213166e-11,3.3483714e-06,4.455135e-09,-4.4958248e-10,5.021204e-08,0.23414215,-1.0736176e-09,0.4265267,0.0,0.0,0.0,0.0,0.0,2.6778052e-06,0.0026155103,0.0026155182,0.00013248141,0.70195675,0.70195657,0.2048001,0.017319886,0.017319886,3.0649593,9.999885e-07,9.999991e-07,9.023475e-07,3.9999627e-06,3.9999627e-06,3.9999977e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
2693457,2692072,0.9903972,-0.00015392897,0.007527231,0.1380462,-0.0030413072,-0.0039661457,0.050454903,-2.5657006e-05,-0.00048169302,0.03698712,-4.142909e-06,-2.4548067e-06,3.104239e-05,2.2920585e-06,-2.2366019e-06,-3.113596e-06,0.23414215,-1.0736176e-09,0.4265267,0.0,0.0,0.0,0.0,0.0,1.7033404e-06,0.0018547925,0.0018547929,8.239102e-05,0.17249157,0.17249091,0.24604611,0.010175815,0.010175791,0.8885371,8.246668e-07,8.2479045e-07,8.1996724e-08,3.92876e-06,3.9287515e-06,3.99431e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
3693937,3692627,0.990405,6.2324616e-05,0.0077169933,0.13797921,-0.0061986037,-0.0054798727,0.044721674,-0.00064853835,-0.0006370802,-0.016638666,-1.5114366e-05,1.4879305e-05,2.9827092e-05,1.4749801e-06,-2.4401668e-06,5.622491e-05,0.23414215,-1.0736176e-09,0.4265267,0.0,0.0,0.0,0.0,0.0,9.751002e-07,0.0010816242,0.0010816199,4.604147e-05,0.08777546,0.08777555,0.3210797,0.0072218427,0.007221841,0.7277382,2.7825163e-07,2.7831297e-07,1.2878916e-08,3.916469e-06,3.916478e-06,3.8677786e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
4694472,4693186,0.99040407,0.0005186106,0.0073381285,0.13800643,-0.0031848073,-0.0023081019,-0.009743778,-0.00036422425,-0.00051363464,-0.15011805,-1.9779107e-05,2.7281214e-05,2.870865e-05,3.1916586e-06,-4.7755105e-07,0.00019188893,0.23414215,-1.0736176e-09,0.4265267,0.0,0.0,0.0,0.0,0.0,6.546234e-07,0.00056618627,0.0005661945,3.1600954e-05,0.08887009,0.08887035,0.3637906,0.014537291,0.014537323,0.88337874,5.7046353e-08,5.706009e-08,4.090478e-09,3.8930048e-06,3.8930784e-06,3.4208933e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
5694940,5693751,0.9896834,0.0005327068,0.007355029,0.14308219,-0.0033442231,-0.003681453,-0.121853106,-0.0005045959,-0.00054302346,-0.43622622,-2.0926964e-05,2.9060791e-05,2.8561812e-05,-7.8244744e-07,-5.9904266e-07,0.0004070944,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,1.6298492e-05,0.00028319738,0.00028315219,0.0009279466,0.06380718,0.063807346,0.32952842,0.009240693,0.009240684,0.94807154,1.31290765e-08,1.3131416e-08,3.2784666e-09,3.7998932e-06,3.800082e-06,2.6530383e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
6695523,6694309,0.99041307,0.0006303551,0.0073017944,0.13794287,-0.00019306882,-0.0002818174,-0.19584951,-0.0003953918,-0.0003187242,-0.7251081,-2.097838e-05,2.9127828e-05,2.962228e-05,-1.0750393e-05,-4.441637e-06,0.0005110118,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,9.055714e-06,0.00012386117,0.00012383648,0.0005132162,0.024058865,0.024059238,0.2875993,0.0073641953,0.00736422,0.99773586,1.2379479e-08,1.23816095e-08,3.2642706e-09,3.2452522e-06,3.2454507e-06,1.9710149e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
7704295,7702782,0.99038965,0.00061648176,0.0073781963,0.13810737,-0.0029101882,-0.0011905412,-0.19354221,-0.00056503084,-0.00023060536,-0.8723554,-2.0976688e-05,2.923102e-05,2.9451365e-05,-1.1477501e-05,-5.2491537e-06,0.000467333,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.425841e-06,0.00018782064,0.00018780488,0.0003605795,0.014800183,0.014800509,0.23413703,0.0050534117,0.0050534513,0.9341469,1.1994504e-08,1.1996565e-08,3.222029e-09,3.1989453e-06,3.1992377e-06,1.3909101e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
8704680,8703347,0.9895404,0.0005682468,0.0072797267,0.14407125,-0.00069317565,-0.00096523226,-0.11881013,-0.0005731845,-0.00044783312,-0.81894124,-2.1342295e-05,3.066792e-05,2.3513048e-05,-2.994606e-06,-4.3266546e-06,0.0003198553,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,5.327304e-06,0.00018139472,0.00018138051,0.00029418367,0.020656185,0.020656101,0.20093812,0.0050805653,0.0050805653,0.92325467,6.1041083e-09,6.104794e-09,3.1451215e-09,3.0900967e-06,3.0904725e-06,1.0049573e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
9693233,9692058,0.9891039,0.00091792335,0.007794809,0.14700998,-0.000631625,-0.0019625279,-0.03671046,0.00014327254,-0.0005152356,-0.68988967,-2.1564882e-05,3.1433116e-05,2.0247151e-05,2.835619e-06,-3.6591887e-06,0.00018960469,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,4.9282644e-06,0.00013558829,0.00013557094,0.00026344965,0.021187399,0.021187412,0.1636877,0.008000304,0.008000297,0.8390187,2.1792435e-09,2.1790483e-09,3.0352845e-09,2.9970397e-06,2.9974706e-06,7.0469383e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
10693815,10692616,0.98744994,0.00084833923,0.0077986675,0.15773758,-0.0010372234,-0.0012558043,-0.0036894395,-0.000248721,-0.0005417607,-0.65464586,-2.1698987e-05,3.1473763e-05,3.8717917e-06,4.5821216e-06,-2.989329e-06,0.00015946185,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,4.8551765e-06,0.00010181921,0.00010180326,0.00024665263,0.0124522215,0.01245221,0.14089255,0.0060534347,0.0060534384,0.8232725,6.9101236e-10,6.9053757e-10,2.8807812e-09,2.9581495e-06,2.9586133e-06,5.106051e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
11694448,11693184,0.9871745,0.0008839827,0.007773507,0.15945323,-0.00030083954,-0.00089694315,0.017893272,5.088571e-05,-0.0004002334,-0.63315845,-2.1865679e-05,3.1619176e-05,3.0447104e-06,5.284085e-06,-1.9800127e-06,0.00015239019,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,5.0386507e-06,9.033177e-05,9.031688e-05,0.00023932502,0.008336635,0.008336482,0.116003424,0.0048187305,0.004818716,0.75743425,2.9748612e-10,2.969763e-10,2.69115e-09,2.9468645e-06,2.9473567e-06,3.6204284e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
12695004,12693754,0.98640287,0.00090150477,0.0077699404,0.1641591,0.0018733526,0.001413299,0.027570015,6.3587715e-05,-0.00033972284,-0.6324874,-2.1882808e-05,3.163207e-05,-3.744347e-06,5.312582e-06,-1.682538e-06,0.00016355336,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,5.344183e-06,8.572726e-05,8.571228e-05,0.000236828,0.00629265,0.0062926114,0.09587443,0.0040420596,0.004042041,0.69901687,1.6356938e-10,1.6308795e-10,2.4756819e-09,2.9422154e-06,2.9427313e-06,2.593348e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
13695495,13694323,0.9859482,0.0006869411,0.0075191157,0.16688073,0.0021316623,-0.00096073607,0.016139401,0.00026696423,8.015686e-07,-0.69825816,-2.1890035e-05,3.1272146e-05,-5.6860345e-06,1.4570838e-06,-3.3915612e-06,0.00019654137,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,5.739834e-06,8.326458e-05,8.3256135e-05,0.00023624588,0.00031568832,0.00029738215,0.08213224,2.9244355e-05,2.463677e-05,0.67940176,1.0438017e-10,1.03957426e-10,2.2460662e-09,2.9377113e-06,2.93819e-06,1.9164592e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
14704320,14702804,0.98668545,0.0006939861,0.0073690307,0.16247192,-0.0029897117,-0.0016000919,0.012004437,0.000534606,-0.00027205804,-0.75054884,-2.2026166e-05,3.1570115e-05,7.004782e-06,7.905815e-06,-1.8790462e-06,0.00021852758,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.0092543e-06,8.022791e-05,8.02174e-05,0.0002339517,0.00028676447,0.0002714068,0.0690637,9.892048e-05,7.0469716e-05,0.6345056,6.305064e-11,6.266719e-11,2.002613e-09,2.9330515e-06,2.9335715e-06,1.4162289e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
15705689,15703375,0.9868169,0.0008326654,0.007757428,0.1616526,-0.0026360792,-0.0010192356,0.0058851703,2.1941756e-05,-0.0004078055,-0.79913235,-2.2027607e-05,3.1681007e-05,1.1002552e-05,7.3593205e-06,9.430144e-08,0.00023577597,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.235122e-06,7.922786e-05,7.921473e-05,0.00023303361,0.00025253784,0.0002387125,0.06043592,0.00017245027,0.00011382828,0.6210806,4.9235158e-11,4.889378e-11,1.7786695e-09,2.9285013e-06,2.9290431e-06,1.0880654e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
16697239,16696038,0.987553,0.0005902273,0.007077968,0.15712638,-0.00013070626,0.000349197,0.007141565,-0.00080347,-0.0011110081,-0.8238122,-2.232461e-05,3.1675736e-05,2.1655454e-05,3.5304502e-06,4.661291e-06,0.00024461807,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.3739085e-06,7.864934e-05,7.8638695e-05,0.00023312788,0.00024046026,0.00022983582,0.05125128,0.00024117313,0.00015656417,0.57605046,4.1783983e-11,4.147633e-11,1.5795918e-09,2.9213918e-06,2.9219448e-06,8.297529e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
17693913,17692661,0.98663,0.00043782347,0.0069277743,0.16282819,0.002526645,0.00077631447,0.011980029,-0.0006782825,-0.00087149296,-0.83249766,-2.211018e-05,3.1730724e-05,1.1430106e-05,1.4848624e-05,-7.737562e-06,0.00024927568,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.4128303e-06,7.828263e-05,7.827128e-05,0.00023006774,0.00027650906,0.00026783938,0.045414373,0.00030609922,0.00020160517,0.563824,3.690148e-11,3.6633578e-11,1.3882302e-09,2.915451e-06,2.9160085e-06,6.5717735e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
18695100,18693235,0.9862002,0.00038074108,0.006920409,0.1654125,0.00086646364,-0.0004001956,0.01978391,0.00014402384,-0.0011999732,-0.8165818,-2.2056805e-05,3.1755713e-05,8.330953e-06,1.2740769e-05,-1.1264092e-05,0.00024948322,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.4613937e-06,7.800394e-05,7.799138e-05,0.00022594203,0.00023897311,0.00023149716,0.039284647,0.0003609523,0.0002459571,0.52815384,3.317574e-11,3.2941736e-11,1.2172271e-09,2.9120101e-06,2.9125727e-06,5.1842225e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
19695785,19693805,0.9856779,0.0007632647,0.007621678,0.16846517,0.00043909682,0.0032989467,0.02671482,7.64298e-05,-0.0011644029,-0.79096246,-2.2033226e-05,3.176401e-05,4.7448e-06,1.7999786e-05,-1.0244949e-05,0.000249146,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.489672e-06,7.779812e-05,7.7783036e-05,0.00022099123,0.00023733001,0.0002298928,0.035360944,0.00041640957,0.00029100888,0.5176193,3.0428906e-11,3.0228254e-11,1.0665822e-09,2.9095495e-06,2.910115e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
20695623,20694380,0.9850737,0.0004556569,0.007276552,0.17197876,-0.00033310388,-0.003001218,0.03846786,0.00051439146,-0.00079887954,-0.73881227,-2.1984572e-05,3.183544e-05,1.0436921e-06,7.4171858e-06,-1.44636e-05,0.00024567425,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.5347135e-06,7.765024e-05,7.763784e-05,0.00021540649,0.000265053,0.00025832083,0.031332415,0.00046967572,0.00033826177,0.48761576,2.8359018e-11,2.8185197e-11,9.351575e-10,2.906835e-06,2.9074001e-06,5.000027e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
21704159,21702865,0.98567057,0.0005627027,0.007283238,0.16852345,0.0003042811,0.00056780165,0.041663934,0.000805805,-0.0007554044,-0.7142937,-2.2168657e-05,3.183134e-05,8.8356655e-06,7.998883e-06,-6.0711545e-06,0.00024816036,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.461982e-06,7.755625e-05,7.754397e-05,0.00020784095,0.0002718525,0.00026578864,0.028390456,0.00052036566,0.0003867679,0.46326742,2.6632833e-11,2.6483015e-11,8.1599766e-10,2.9040996e-06,2.9046632e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
22704786,22703441,0.98615927,0.00059595477,0.0073012067,0.16563922,0.0005944526,-0.0004554059,0.0405978,0.00074261206,-0.0008126863,-0.7167807,-2.2275224e-05,3.18811e-05,1.4857082e-05,8.810972e-06,-6.331342e-06,0.00025491792,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.3719945e-06,7.7482626e-05,7.747104e-05,0.00020187047,0.00027873108,0.00027299763,0.026910704,0.0005736252,0.00043636514,0.45697063,2.522188e-11,2.5091417e-11,7.1846107e-10,2.9002765e-06,2.9008409e-06,5.0000384e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
23694122,23692160,0.9856394,0.00057708053,0.0073359427,0.16870375,-0.0015847553,-0.0011250357,0.04070452,0.0008592511,-0.0007997011,-0.71535337,-2.223811e-05,3.1855543e-05,1.1457908e-05,4.684203e-06,-7.4459113e-06,0.00026059255,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.315468e-06,7.7297045e-05,7.728608e-05,0.0001973134,0.00024054082,0.00023510325,0.025357896,0.00061982346,0.0004851315,0.4345229,2.4004835e-11,2.3889586e-11,6.383773e-10,2.8962006e-06,2.8967645e-06,5e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
24694661,24692730,0.9860583,0.0005951263,0.007306912,0.1662391,0.0003008125,-0.00027831277,0.044277433,0.001438008,-0.0007610819,-0.6864175,-2.227308e-05,3.1972828e-05,1.6235139e-05,6.5796457e-06,-8.924831e-06,0.00026260817,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.189449e-06,7.717413e-05,7.716392e-05,0.00019123526,0.00023364877,0.00022829424,0.025000118,0.0006734103,0.0005373862,0.43239462,2.3026785e-11,2.2926138e-11,5.6545285e-10,2.8924858e-06,2.893048e-06,5.0000395e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
25694554,25693308,0.9858897,0.00062991877,0.0073427353,0.16723393,0.0018958834,0.0007845198,0.048218712,0.0014834636,-0.00039144172,-0.6597441,-2.2309623e-05,3.1976695e-05,1.5725253e-05,5.9345593e-06,-7.415393e-06,0.00026547068,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,6.049622e-06,7.7040844e-05,7.703108e-05,0.00018528521,0.00025753182,0.00025225346,0.024465421,0.00072540523,0.0005928888,0.41768035,2.2243749e-11,2.2154606e-11,5.026184e-10,2.8888992e-06,2.8894615e-06,5.000009e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
26695138,26693886,0.9864662,0.00061878626,0.0072785625,0.16380174,-0.00012765764,0.000104755745,0.04678782,0.0005612936,-0.0005054624,-0.6546767,-2.2329185e-05,3.2101165e-05,2.1352354e-05,7.009694e-06,-1.3066293e-05,0.00027176435,0.23053218,1.1699112e-09,0.4257671,0.0,0.0,0.0,0.0,0.0,5.9012123e-06,7.698838e-05,7.697912e-05,0.0001795055,0.00022233928,0.00021698534,0.024732174,0.00078357477,0.00065085234,0.41993615,2.1522983e-11,2.1443874e-11,4.483879e-10,2.8847528e-06,2.8853144e-06,5.0000388e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24
