timestamp,main_state_changes,main_state
1009457,0,0
1510987,0,0
2013303,0,0
2524359,0,0
3034012,0,0
3540832,0,0
4048835,0,0
4094580,0,0
4599422,0,0
5109973,0,0
5620967,0,0
6128835,0,0
6638801,0,0
7138831,0,0
7647806,0,0
8150806,0,0
8659806,0,0
9163602,0,0
9671804,0,0
10171963,0,0
10683018,0,0
11193860,0,0
11694867,0,0
12205803,0,0
12713806,0,0
13215954,0,0
13716588,0,0
14140909,0,0
14642881,0,0
15149912,0,0
15659863,0,0
16160863,0,0
16661805,0,0
17169807,0,0
17427901,1,2
17938214,1,2
18441104,1,2
18941914,1,2
19452015,1,2
19956857,1,2
20463869,1,2
20973806,1,2
21484852,1,2
21985801,1,2
22488599,1,2
22989840,1,2
23495959,1,2
23997996,1,2
24498840,1,2
25002835,1,2
25510800,1,2
26013844,1,2
26517804,1,2
27019908,1,2
27522859,1,2
28028192,1,2
28528805,1,2
29029803,1,2
29538315,1,2
30041177,1,2
30544852,1,2
31046098,1,2
31552433,1,2
32056840,1,2
32559993,1,2
33063802,1,2
33572635,1,2
34073803,1,2
34577898,1,2
35087547,1,2
35590988,1,2
36096129,1,2
36599889,1,2
37104971,1,2
37615802,1,2
38118883,1,2
38619805,1,2
39130804,1,2
39631842,1,2
40137952,1,2
40648079,1,2
41151861,1,2
41657108,1,2
42167031,1,2
42671945,1,2
43179904,1,2
43683843,1,2
44184199,1,2
44693991,1,2
45204671,1,2
45706671,1,2
46208594,1,2
46715552,1,2
47219874,1,2
47728884,1,2
48237439,1,2
48743589,1,2
49250804,1,2
49750836,1,2
50260806,1,2
50761836,1,2
51261901,1,2
51769403,1,2
52278995,1,2
52785833,1,2
52877583,1,2
53383109,1,2
53885228,1,2
54395765,1,2
54529915,1,2
55040914,1,2
55551004,1,2
56056920,1,2
56563805,1,2
57073804,1,2
57579805,1,2
58089398,1,2
58591049,1,2
59097413,1,2
59599933,1,2
60103845,1,2
60610844,1,2
61115086,1,2
61626294,1,2
62136978,1,2
62641959,1,2
63149806,1,2
63650979,1,2
64153808,1,2
64663827,1,2
64730835,1,2
65240804,1,2
65749806,1,2
66249819,1,2
66751974,1,2
67252444,1,2
67752916,1,2
68253169,1,2
68757865,1,2
69258877,1,2
69761031,1,2
70271807,1,2
70781846,1,2
71097077,1,2
71603840,1,2
72110916,1,2
72619795,1,2
73127805,1,2
73633014,1,2
74141909,1,2
74644855,1,2
75146806,1,2
75653807,1,2
76155491,1,2
76656980,1,2
77161008,1,2
77663804,1,2
78170844,1,2
78674985,1,2
79178057,1,2
79683888,1,2
80185139,1,2
80691896,1,2
81198226,1,2
81699886,1,2
82206474,1,2
82709882,1,2
83214925,1,2
83720421,1,2
84221808,1,2
84726241,1,2
85227810,1,2
85734500,1,2
86240834,1,2
86740931,1,2
87240987,1,2
87750848,1,2
88029021,1,2
88530832,1,2
89032210,1,2
89541869,1,2
90050809,1,2
90559812,1,2
91061842,1,2
91572807,1,2
92082918,1,2
92584893,1,2
93094860,1,2
93594900,1,2
94095813,1,2
94605352,1,2
95107670,1,2
95609806,1,2
96112911,1,2
96617751,1,2
97120806,1,2
97615912,1,2
98120938,1,2
98623946,1,2
99129805,1,2
99637992,1,2
100149003,1,2
100652972,1,2
101159808,1,2
101660955,1,2
102162474,1,2
102662817,1,2
103167341,1,2
103673121,1,2
104179415,1,2
104686655,1,2
105196649,1,2
105696816,1,2
106199083,1,2
106706799,1,2
107206844,1,2
107708921,1,2
108217976,1,2
108719625,1,2
109219806,1,2
109729843,1,2
110231832,1,2
110732218,1,2
111240862,1,2
111745803,1,2
112251010,1,2
112755050,1,2
113263500,1,2
