timestamp,time_estimate,safe_time_estimate,valid
1270719,0.0,0.0,0
2321646,0.0,0.0,0
3346590,0.0,0.0,0
4406334,0.0,0.0,0
5414360,0.0,0.0,0
6434952,0.0,0.0,0
7446980,0.0,0.0,0
8456261,0.0,0.0,0
9468492,0.0,0.0,0
10476427,0.0,0.0,0
11496847,0.0,0.0,0
12517539,0.0,0.0,0
13557802,0.0,0.0,0
14594768,0.0,0.0,0
15606872,0.0,0.0,0
16614400,0.0,0.0,0
17635082,0.0,0.0,0
18647179,0.0,0.0,0
19657481,0.0,0.0,0
20716766,0.0,0.0,0
21736437,0.0,0.0,0
22737196,0.0,0.0,0
23738382,0.0,0.0,0
24753589,0.0,0.0,0
25766624,0.0,0.0,0
26775049,0.0,0.0,0
27827227,0.0,0.0,0
28835360,0.0,0.0,0
29848339,0.0,0.0,0
30896581,0.0,0.0,0
31904782,0.0,0.0,0
32916297,0.0,0.0,0
33925677,0.0,0.0,0
34977161,0.0,0.0,0
35997722,0.0,0.0,0
37006454,0.0,0.0,0
38026772,0.0,0.0,0
39027795,0.0,0.0,0
40036198,0.0,0.0,0
41056381,0.0,0.0,0
42057573,0.0,0.0,0
43077222,0.0,0.0,0
44085357,0.0,0.0,0
45097570,0.0,0.0,0
46107109,0.0,0.0,0
47126871,0.0,0.0,0
48135970,0.0,0.0,0
49147449,0.0,0.0,0
50156394,0.0,0.0,0
51164201,0.0,0.0,0
52176958,0.0,0.0,0
53185421,0.0,0.0,0
54185763,0.0,0.0,0
55194645,0.0,0.0,0
56207405,0.0,0.0,0
57215501,0.0,0.0,0
58247844,0.0,0.0,0
59256038,0.0,0.0,0
60257238,0.0,0.0,0
61277226,0.0,0.0,0
62297849,0.0,0.0,0
63305561,0.0,0.0,0
64306764,0.0,0.0,0
65346175,0.0,0.0,0
66355425,0.0,0.0,0
67355493,0.0,0.0,0
68356431,0.0,0.0,0
69364414,0.0,0.0,0
70377137,0.0,0.0,0
71406147,0.0,0.0,0
72414610,0.0,0.0,0
73428101,0.0,0.0,0
74447868,0.0,0.0,0
75455855,0.0,0.0,0
76456905,0.0,0.0,0
77464691,0.0,0.0,0
78476462,0.0,0.0,0
79478182,0.0,0.0,0
80485703,0.0,0.0,0
81494680,0.0,0.0,0
82506983,0.0,0.0,0
83528612,0.0,0.0,0
84575559,0.0,0.0,0
85584691,0.0,0.0,0
86596509,0.0,0.0,0
87643996,0.0,0.0,0
88684570,0.0,0.0,0
89696963,0.0,0.0,0
90717723,0.0,0.0,0
91725790,0.0,0.0,0
92745776,0.0,0.0,0
93746783,0.0,0.0,0
94767168,0.0,0.0,0
95767556,0.0,0.0,0
96776249,0.0,0.0,0
97776495,0.0,0.0,0
98777570,0.0,0.0,0
99797674,0.0,0.0,0
100805937,0.0,0.0,0
101814661,0.0,0.0,0
102815571,0.0,0.0,0
103835393,0.0,0.0,0
104836814,0.0,0.0,0
