timestamp,device_id,min_distance,max_distance,current_distance,variance,h_fov,v_fov,q[0],q[1],q[2],q[3],signal_quality,type,orientation
71403589,9009923,0.0,0.0,0.03100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71421847,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71443547,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71461930,9009923,0.0,0.0,0.03100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71484119,9009923,0.0,0.0,0.03100586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71502280,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71523745,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71542321,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71563511,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71583558,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71603583,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71622628,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71643618,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71662203,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71683714,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71702232,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71723903,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71742295,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71765336,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71782360,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71805122,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71822384,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71845411,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71862440,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71884571,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71903554,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71924086,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71942817,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71964063,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
71982934,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72004150,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72022988,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72044165,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72062921,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72084222,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72102781,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72125216,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72142970,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72165064,9009923,0.0,0.0,0.03201294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72182950,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72204813,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72224183,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72244795,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72263330,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72284832,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72303049,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72324916,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72343098,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72364712,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72383502,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72404652,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72423528,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72446390,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72463539,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72485174,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72503570,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72524842,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72544185,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72564860,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72583715,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72604931,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72623496,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72645052,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72663549,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72685279,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72703651,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72726714,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72743639,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72766196,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72783690,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72805408,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72823778,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72845289,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72865258,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72885321,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72904516,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72925371,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72944206,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72965434,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
72984133,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73005441,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73024079,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73047405,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73064085,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73086259,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73104129,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73126925,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73144215,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73166005,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73184831,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73205995,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73225311,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73246047,9009923,0.0,0.0,0.032989502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73264599,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73285972,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73304679,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73325917,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73344788,9009923,0.0,0.0,0.035003662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73367502,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
73384849,9009923,0.0,0.0,0.033996582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,25
