timestamp,timestamp_sample,device_id,error_count,pressure,temperature
1387696,1386711,6780449,0,990.86536,46.96
1431212,1430010,6780449,0,990.8318,46.95
1517551,1516606,6780449,0,990.81793,46.96
1604141,1603217,6780449,0,990.8537,46.96
1690794,1689839,6780449,0,990.82874,46.96
1820644,1819719,6780449,0,990.84076,46.96
1907254,1906320,6780449,0,990.8537,46.96
1993837,1992909,6780449,0,990.8123,46.96
2123741,2122811,6780449,0,990.8654,46.969997
2210334,2209406,6780449,0,990.8154,46.969997
2296933,2296008,6780449,0,990.864,46.98
2426830,2425905,6780449,0,990.84467,46.989998
2513430,2512505,6780449,0,990.85803,46.98
2600036,2599111,6780449,0,990.8428,46.98
2729930,2729005,6780449,0,990.85144,46.989998
2816533,2815609,6780449,0,990.81226,46.989998
2903350,2902419,6780449,0,990.8372,47.0
2989730,2988806,6780449,0,990.8471,47.0
3119912,3118706,6780449,0,990.81866,47.0
3206235,3205309,6780449,0,990.8307,47.01
3292834,3291906,6780449,0,990.83997,47.01
3422743,3421807,6780449,0,990.8196,47.03
3509329,3508405,6780449,0,990.83264,47.03
3595935,3595010,6780449,0,990.78296,47.03
3725930,3725006,6780449,0,990.82117,47.03
3812430,3811505,6780449,0,990.79724,47.039997
3899030,3898105,6780449,0,990.8351,47.05
4028930,4028006,6780449,0,990.7936,47.039997
4115529,4114606,6780449,0,990.82043,47.05
4202146,4201219,6780449,0,990.80896,47.059998
4332039,4331110,6780449,0,990.78577,47.059998
4418635,4417706,6780449,0,990.7997,47.07
4505233,4504308,6780449,0,990.8123,47.07
4592000,4591063,6780449,0,990.80414,47.07
4721733,4720809,6780449,0,990.8001,47.079998
4808556,4807407,6780449,0,990.76874,47.079998
4894936,4894007,6780449,0,990.8173,47.09
5024854,5023912,6780449,0,990.8204,47.09
5111435,5110506,6780449,0,990.80505,47.1
5198036,5197107,6780449,0,990.7353,47.1
5327931,5327006,6780449,0,990.7682,47.1
5414545,5413620,6780449,0,990.75696,47.11
5501163,5500227,6780449,0,990.7511,47.11
5631150,5630107,6780449,0,990.77386,47.12
5717634,5716705,6780449,0,990.74207,47.12
5804233,5803308,6780449,0,990.72864,47.12
5890835,5889910,6780449,0,990.75336,47.129997
6020736,6019807,6780449,0,990.7557,47.129997
6107329,6106406,6780449,0,990.7422,47.129997
6193933,6193009,6780449,0,990.755,47.14
6323830,6322907,6780449,0,990.7941,47.149998
6410434,6409508,6780449,0,990.7605,47.149998
6497246,6496111,6780449,0,990.7736,47.149998
6626939,6626012,6780449,0,990.7632,47.149998
6713529,6712605,6780449,0,990.764,47.16
6800145,6799222,6780449,0,990.74084,47.16
6930038,6929108,6780449,0,990.7604,47.17
7016700,7015717,6780449,0,990.7514,47.17
7103340,7102416,6780449,0,990.7562,47.18
7189834,7188911,6780449,0,990.7335,47.17
7319847,7318806,6780449,0,990.76337,47.18
7406334,7405408,6780449,0,990.7548,47.18
7492953,7492010,6780449,0,990.76117,47.19
7622841,7621912,6780449,0,990.75555,47.19
7709434,7708506,6780449,0,990.7619,47.2
7796067,7795133,6780449,0,990.7796,47.21
7925943,7925007,6780449,0,990.80206,47.21
8012535,8011606,6780449,0,990.7673,47.2
8099140,8098216,6780449,0,990.71686,47.21
8229034,8228110,6780449,0,990.7696,47.219997
8315633,8314705,6780449,0,990.80804,47.23
8402236,8401308,6780449,0,990.78265,47.219997
8532152,8531225,6780449,0,990.7894,47.23
8618731,8617808,6780449,0,990.77295,47.23
8705338,8704408,6780449,0,990.75464,47.23
8792029,8791105,6780449,0,990.80255,47.239998
8921841,8920912,6780449,0,990.7966,47.25
9008555,9007505,6780449,0,990.7828,47.25
9095030,9094106,6780449,0,990.76483,47.25
9224940,9224015,6780449,0,990.75854,47.26
9311532,9310607,6780449,0,990.8,47.26
9398151,9397221,6780449,0,990.78766,47.27
9528031,9527107,6780449,0,990.7869,47.27
9614633,9613706,6780449,0,990.7948,47.27
9701253,9700310,6780449,0,990.77014,47.28
9831149,9830215,6780449,0,990.7601,47.28
9917731,9916806,6780449,0,990.7882,47.28
10004344,10003415,6780449,0,990.7665,47.289997
10090930,10090006,6780449,0,990.793,47.28
10220832,10219907,6780449,0,990.761,47.289997
10307431,10306507,6780449,0,990.77106,47.289997
10394032,10393109,6780449,0,990.77026,47.3
10524181,10523233,6780449,0,990.76886,47.3
10610537,10609614,6780449,0,990.7607,47.309998
10697262,10696217,6780449,0,990.7607,47.309998
10827035,10826107,6780449,0,990.78687,47.32
10913629,10912706,6780449,0,990.7512,47.32
11000248,10999310,6780449,0,990.77185,47.32
11130149,11129221,6780449,0,990.77637,47.32
11216730,11215806,6780449,0,990.7757,47.329998
11303343,11302415,6780449,0,990.7589,47.329998
11389930,11389006,6780449,0,990.78687,47.34
11519861,11518906,6780449,0,990.7562,47.329998
11606440,11605509,6780449,0,990.7741,47.34
11693047,11692117,6780449,0,990.7907,47.35
11822934,11822009,6780449,0,990.7655,47.34
11909533,11908608,6780449,0,990.7903,47.35
11996174,11995218,6780449,0,990.769,47.35
12126039,12125109,6780449,0,990.7507,47.35
12212868,12211944,6780449,0,990.766,47.35
12299242,12298318,6780449,0,990.7551,47.36
12429157,12428229,6780449,0,990.7705,47.36
12515736,12514805,6780449,0,990.7564,47.36
12602337,12601408,6780449,0,990.7564,47.36
12732235,12731306,6780449,0,990.7316,47.37
12818837,12817911,6780449,0,990.75714,47.379997
12905432,12904509,6780449,0,990.74146,47.379997
12992043,12991107,6780449,0,990.75977,47.379997
13121934,13121011,6780449,0,990.7537,47.379997
