timestamp,speed_up,speed_down,want_takeoff
17816961,4.0,1.5,0
17836171,4.0,1.5,0
18816942,4.0,1.5,0
19813588,4.0,1.5,0
20814214,4.0,1.5,0
21815402,4.0,1.5,0
22815303,4.0,1.5,0
23815868,4.0,1.5,0
24816515,4.0,1.5,0
25817013,4.0,1.5,0
26813640,4.0,1.5,0
27814344,4.0,1.5,0
28815574,4.0,1.5,0
29816012,4.0,1.5,0
30815950,4.0,1.5,0
31817178,4.0,1.5,0
32817138,4.0,1.5,0
33813750,4.0,1.5,0
34814373,4.0,1.5,0
35815637,4.0,1.5,0
36816075,4.0,1.5,0
37816717,4.0,1.5,0
38817247,4.0,1.5,0
39813357,4.0,1.5,0
40813869,4.0,1.5,0
41814451,4.0,1.5,0
42815668,4.0,1.5,0
43815630,4.0,1.5,0
44816258,4.0,1.5,0
45816783,4.0,1.5,0
46813484,4.0,1.5,0
47814596,4.0,1.5,0
48815195,4.0,1.5,0
49815174,4.0,1.5,0
50815758,4.0,1.5,0
51816360,4.0,1.5,0
52816929,4.0,1.5,0
53813560,4.0,1.5,0
54814204,4.0,1.5,0
55814733,4.0,1.5,0
56815330,4.0,1.5,0
57815991,4.0,1.5,0
58816493,4.0,1.5,0
59817046,4.0,1.5,0
60813677,4.0,1.5,0
61814267,4.0,1.5,0
62814877,4.0,1.5,0
63815484,4.0,1.5,0
64816016,4.0,1.5,0
65816598,4.0,1.5,0
66813257,4.0,1.5,0
67813899,4.0,1.5,0
68814466,4.0,1.5,0
69814975,4.0,1.5,0
70815561,4.0,1.5,0
71816785,4.0,1.5,0
72816746,4.0,1.5,0
73813457,4.0,1.5,0
74814048,4.0,1.5,0
75814567,4.0,1.5,0
76815169,4.0,1.5,0
77815848,4.0,1.5,0
78816346,4.0,1.5,0
79816931,4.0,1.5,0
80814141,4.0,1.5,0
81814157,4.0,1.5,0
82814742,4.0,1.5,0
83815339,4.0,1.5,0
84815941,4.0,1.5,0
85817110,4.0,1.5,0
86817113,4.0,1.5,0
87814536,4.0,1.5,0
88814425,4.0,1.5,0
89814936,4.0,1.5,0
90815563,4.0,1.5,0
91816170,4.0,1.5,0
92816748,4.0,1.5,0
93813380,4.0,1.5,0
94813898,4.0,1.5,0
95814507,4.0,1.5,0
96815687,4.0,1.5,0
97815737,4.0,1.5,0
98816302,4.0,1.5,0
99817583,4.0,1.5,0
100818034,4.0,1.5,0
101814050,4.0,1.5,0
102814715,4.0,1.5,0
103815874,4.0,1.5,0
104816554,4.0,1.5,0
105817048,4.0,1.5,0
106817654,4.0,1.5,0
107813654,4.0,1.5,0
108814265,4.0,1.5,0
109815438,4.0,1.5,0
110815502,4.0,1.5,0
111815981,4.0,1.5,0
112817262,4.0,1.5,0
113813220,4.0,1.5,0
114813811,4.0,1.5,0
115814477,4.0,1.5,0
116815597,4.0,1.5,0
117815584,4.0,1.5,0
118816841,4.0,1.5,0
119817459,4.0,1.5,0
120813422,4.0,1.5,0
121814003,4.0,1.5,0
122814585,4.0,1.5,0
123815816,4.0,1.5,0
124815964,4.0,1.5,0
125817010,4.0,1.5,0
126817050,4.0,1.5,0
127813607,4.0,1.5,0
128814206,4.0,1.5,0
129815603,4.0,1.5,0
130816017,4.0,1.5,0
131816675,4.0,1.5,0
132816589,4.0,1.5,0
133813212,4.0,1.5,0
134813849,4.0,1.5,0
135814438,4.0,1.5,0
136815198,4.0,1.5,0
137816294,4.0,1.5,0
138816239,4.0,1.5,0
139817452,4.0,1.5,0
140813480,4.0,1.5,0
141814033,4.0,1.5,0
142815365,4.0,1.5,0
143815492,4.0,1.5,0
144815867,4.0,1.5,0
145817142,4.0,1.5,0
146817037,4.0,1.5,0
147813712,4.0,1.5,0
148814302,4.0,1.5,0
149815593,4.0,1.5,0
150815525,4.0,1.5,0
151816097,4.0,1.5,0
152816831,4.0,1.5,0
153813382,4.0,1.5,0
154814641,4.0,1.5,0
155814765,4.0,1.5,0
156815831,4.0,1.5,0
157816349,4.0,1.5,0
158816377,4.0,1.5,0
159816981,4.0,1.5,0
160818383,4.0,1.5,0
161814380,4.0,1.5,0
162814831,4.0,1.5,0
163815484,4.0,1.5,0
164816671,4.0,1.5,0
165816693,4.0,1.5,0
166813308,4.0,1.5,0
167814485,4.0,1.5,0
168815087,4.0,1.5,0
169815181,4.0,1.5,0
170815849,4.0,1.5,0
171816411,4.0,1.5,0
172816944,4.0,1.5,0
173813725,4.0,1.5,0
174814190,4.0,1.5,0
175814791,4.0,1.5,0
176815398,4.0,1.5,0
177815986,4.0,1.5,0
178816672,4.0,1.5,0
179813256,4.0,1.5,0
180814476,4.0,1.5,0
181814484,4.0,1.5,0
182815870,4.0,1.5,0
183815684,4.0,1.5,0
184816289,4.0,1.5,0
185816903,4.0,1.5,0
186813567,4.0,1.5,0
187814253,4.0,1.5,0
188814863,4.0,1.5,0
189815961,4.0,1.5,0
190816576,4.0,1.5,0
191817176,4.0,1.5,0
192817946,4.0,1.5,0
193813929,4.0,1.5,0
194814564,4.0,1.5,0
195815161,4.0,1.5,0
196816377,4.0,1.5,0
197817014,4.0,1.5,0
198817515,4.0,1.5,0
199814367,4.0,1.5,0
200814179,4.0,1.5,0
