timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,heading_good_for_control,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
1431940,1430500,0,nan,nan,0.016049527,0.02064562,0.007842976,0.0,0.0,0.0,0.0007219337,1.7285693e-05,0.000370065,0.00036790897,0.0005099842,7.777501e-05,0.0,0.05319307,-0.016336977,0.11802932,0.27689523,0.2768993,nan,0.1,0.14143646,3.5000029,7.071068,0.45001808,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
1443477,1442364,0,nan,nan,0.01606224,0.020645367,0.007852372,0.0,0.0,0.0,0.0015125441,-9.405825e-05,0.0010923597,0.0010920318,0.0005099842,7.777501e-05,0.0,0.084253766,-0.009333492,0.03432577,0.276904,0.2768993,nan,0.1,0.1581274,3.5000114,7.071089,0.45004502,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
1526646,1525414,0,nan,nan,0.016342971,0.020708462,0.0026929579,0.0,0.0,0.0,0.004176819,0.0014516469,0.0033497568,-0.0019191084,0.0005099842,7.777501e-05,0.0,0.002101808,0.0044565955,0.011852428,0.27723873,0.2768993,nan,0.1,0.5831176,2.4749565,7.0723248,0.45046732,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
1633691,1632194,0,nan,nan,0.016862173,0.020817064,-0.034901623,0.0,0.0,0.0,0.0063365437,0.00139116,0.008680091,-0.032802176,0.0005099842,7.777501e-05,0.0,0.014558458,0.01968931,0.004624723,0.2773086,0.2768993,nan,0.1,0.14046596,2.021195,1.1707857,0.45163423,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
1728241,1727107,0,nan,nan,0.0172433,0.020919813,-0.059396077,0.0,0.0,0.0,0.0075140805,0.00089167076,0.011871453,-0.05108296,0.0005099842,7.777501e-05,0.0,0.02795733,-0.002151613,0.048173774,0.27741253,0.2768993,nan,0.1,0.21672311,1.7511395,1.1961718,0.4532382,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
1823342,1822023,0,nan,nan,0.01769545,0.021001706,-0.073185004,0.0,0.0,0.0,0.0075787655,0.0016569106,0.016114594,-0.05625733,0.0005099842,7.777501e-05,0.0,0.019223686,-0.015326932,0.023040144,0.277476,0.2768993,nan,0.1,0.30479136,1.567408,1.2366635,0.4553499,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
1929920,1928800,0,nan,nan,0.018029924,0.020960707,-0.06747577,0.0,0.0,0.0,0.008101243,0.0006108012,0.020879712,-0.040870447,0.0005099842,7.777501e-05,0.0,-0.016486099,0.016265396,0.043652564,0.27743927,0.2768993,nan,0.11932813,0.17177968,1.4328325,0.7309132,0.4583471,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2036910,2035579,0,nan,nan,0.018356668,0.02085882,-0.050532646,0.0,0.0,0.0,0.008880043,-0.00067004736,0.024767391,-0.016670685,0.0005099842,7.777501e-05,0.0,0.013775329,0.0044339164,0.018626578,0.27735597,0.2768993,nan,0.13066941,0.120566644,1.3293655,0.5693134,0.46196616,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2131679,2130493,0,nan,nan,0.018464033,0.0207124,-0.041324735,0.0,0.0,0.0,0.0066953157,-0.0012198501,0.028275857,-0.0024634013,0.0005099842,7.777501e-05,0.0,-0.00743241,-0.030360907,0.008554769,0.27728122,0.2768993,nan,0.13205576,0.15641022,1.1743572,0.6827542,0.46524614,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2226592,2225425,0,nan,nan,0.01862885,0.020460373,-0.027695633,0.0,0.0,0.0,0.008589587,-0.0013690628,0.032162435,0.015145829,0.0005099842,7.777501e-05,0.0,-0.0062421015,0.009214491,0.010125497,0.27721494,0.2768993,nan,0.11986595,0.2042914,1.1175348,0.80943424,0.46924782,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2333285,2332186,0,nan,nan,0.018476421,0.020169113,-0.013666806,0.0,0.0,0.0,0.0055384818,-0.004189632,0.036542162,0.031967532,0.0005099842,7.777501e-05,0.0,0.038083125,-0.0015353727,0.048643794,0.277145,0.2768993,nan,0.12157606,0.15535654,1.0705184,0.71031696,0.47429538,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2428289,2427100,0,nan,nan,0.018378692,0.019835398,0.0007135072,0.0,0.0,0.0,0.004820637,-0.0051945075,0.040185824,0.047057178,0.0005099842,7.777501e-05,0.0,0.0031564226,-0.07024548,0.04729214,0.2771034,0.2768993,nan,0.1241223,0.20683041,1.0300691,0.84294754,0.47907725,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2523204,2522014,0,nan,nan,0.017973363,0.019472554,0.013797036,0.0,0.0,0.0,0.002184148,-0.005272492,0.044303454,0.059850518,0.0005099842,7.777501e-05,0.0,-0.04037266,-0.0050280127,0.04095679,0.27710113,0.2768993,nan,0.1118663,0.15191706,0.995665,0.6869967,0.4841889,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2634048,2632748,0,nan,nan,0.01727691,0.01897032,0.027427211,0.0,0.0,0.0,0.0004601719,-0.0065949103,0.048171584,0.07048528,0.0005099842,7.777501e-05,0.0,-0.043708626,0.024111308,0.03950812,0.2770796,0.2768993,nan,0.10482673,0.2242336,0.97004914,0.83600795,0.49207583,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2736779,2735572,0,nan,nan,0.016516626,0.018755218,0.038479794,0.0,0.0,0.0,-0.0019359568,-0.0077248905,0.052092966,0.07802969,0.0005099842,7.777501e-05,0.0,-0.016510587,-0.016323235,0.010510193,0.27704784,0.2768993,nan,0.10293499,0.16288458,0.9153926,0.63443065,0.49809456,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2823963,2822576,0,nan,nan,0.015784493,0.0184842,0.04684322,0.0,0.0,0.0,-0.0044241766,-0.00805287,0.055391476,0.0826324,0.0005099842,7.777501e-05,0.0,0.04464303,-0.015481923,0.0413656,0.27700192,0.2768993,nan,0.1,0.21682973,0.89833844,0.73461235,0.50470567,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
2934477,2933310,0,nan,nan,0.015024797,0.018303178,0.05204007,0.0,0.0,0.0,-0.0070332126,-0.0083776275,0.058272257,0.08155914,0.0005099842,7.777501e-05,0.0,-0.0013333512,0.046423826,0.0098928325,0.27695924,0.2768993,nan,0.1,0.15431143,0.8882517,0.5511562,0.5135626,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3033604,3032181,0,nan,nan,0.014381606,0.018098747,0.05713077,0.0,0.0,0.0,-0.008297421,-0.010248811,0.061390463,0.081591204,0.0005099842,7.777501e-05,0.0,-0.06291434,-0.036886837,0.04326261,0.27688232,0.2768993,nan,0.1,0.2064952,0.8798011,0.65451336,0.52162504,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3136248,3135004,0,nan,nan,0.013829638,0.018036934,0.060266893,0.0,0.0,0.0,-0.008447237,-0.007778613,0.06302151,0.07797989,0.0005099842,7.777501e-05,0.0,-0.07233768,-0.06322453,0.043089297,0.27681616,0.2768993,nan,0.1,0.14892931,0.8745006,0.51677364,0.52987343,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3223347,3222009,0,nan,nan,0.013152352,0.017776085,0.059279915,0.0,0.0,0.0,-0.011206398,-0.009786113,0.064764455,0.07192279,0.0005099842,7.777501e-05,0.0,0.09005211,0.10259599,0.022957655,0.2767403,0.2768993,nan,0.1,0.19192533,0.8694476,0.60469913,0.5369887,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3334151,3332743,0,nan,nan,0.012782231,0.0178056,0.056672253,0.0,0.0,0.0,-0.0124031855,-0.010824907,0.06529324,0.062175784,0.0005099842,7.777501e-05,0.0,-0.032533128,-0.055913974,0.048846304,0.2767668,0.2768993,nan,0.1,0.1432111,0.8719967,0.4916964,0.546428,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3436692,3435566,0,nan,nan,0.012430404,0.017681194,0.053876415,0.0,0.0,0.0,-0.009067815,-0.008167718,0.06502585,0.052964687,0.0005099842,7.777501e-05,0.0,-0.020645011,-0.058078796,0.0371439,0.27680406,0.2768993,nan,0.1,0.18900351,0.8484307,0.59336853,0.54995847,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3523744,3522571,0,nan,nan,0.012253264,0.017678175,0.049602065,0.0,0.0,0.0,-0.014379475,-0.011609083,0.06497519,0.044271234,0.0005099842,7.777501e-05,0.0,0.002454449,-0.01815005,0.046603594,0.27678227,0.2768993,nan,0.1,0.13457043,0.84974116,0.46425718,0.556239,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3634501,3633305,0,nan,nan,0.0122359125,0.017751195,0.04129373,0.0,0.0,0.0,-0.00769925,-0.008469003,0.06201611,0.028621268,0.0005099842,7.777501e-05,0.0,-0.08757288,-0.10344406,0.046191975,0.276772,0.2768993,nan,0.1,0.18218979,0.85897857,0.5674604,0.5648554,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3733305,3732174,0,nan,nan,0.011955742,0.017833747,0.029269595,0.0,0.0,0.0,-0.02169349,-0.0068816585,0.057647973,0.010077532,0.0005099842,7.777501e-05,0.0,-0.27476865,0.02154577,-0.04549349,0.276848,0.2768993,nan,0.1,0.13386531,0.8668639,0.45078662,0.5720232,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3836177,3834999,0,nan,nan,0.010331508,0.01755267,0.017481914,0.0,0.0,0.0,-0.019569494,-0.009867284,0.0550365,-0.004763601,0.0005099842,7.777501e-05,0.0,0.2492719,0.24991685,-0.096718825,0.27657473,0.2768993,nan,0.1,0.1755015,0.8760924,0.539178,0.5788475,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
3923175,3922005,0,nan,nan,0.010575987,0.017864302,0.005070907,0.0,0.0,0.0,-0.0050657196,-0.00850669,0.050548878,-0.02030917,0.0005099842,7.777501e-05,0.0,0.097702734,-0.092256606,0.06522378,0.27674767,0.2768993,nan,0.1,0.1260082,0.8826058,0.41585353,0.5838723,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
4034121,4032737,0,nan,nan,0.011879851,0.018319609,-0.0063583846,0.0,0.0,0.0,-0.0094184205,-0.005828322,0.046812035,-0.032239586,0.0005099842,7.777501e-05,0.0,-0.114432625,-0.11662222,-0.039370693,0.27684298,0.2768993,nan,0.1,0.16824944,0.8698427,0.50033706,0.58285266,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
4136748,4135562,0,nan,nan,0.012418176,0.018500276,-0.020894099,0.0,0.0,0.0,-0.008190427,-0.003630901,0.041684415,-0.047720436,0.0005099842,7.777501e-05,0.0,-0.01586733,0.064473405,-0.06585496,0.27679592,0.2768993,nan,0.1,0.12696995,0.8815368,0.40126553,0.58805656,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
4223909,4222567,0,nan,nan,0.01317318,0.018856503,-0.033977058,0.0,0.0,0.0,-0.0038702334,-0.0059725144,0.036000744,-0.061042555,0.0005099842,7.777501e-05,0.0,-0.099985,0.007051849,-0.038283102,0.2767731,0.2768993,nan,0.1,0.15959351,0.8895817,0.460328,0.5913232,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
4334451,4333301,0,nan,nan,0.013692178,0.019150315,-0.05156191,0.0,0.0,0.0,-0.0043802354,-0.004949555,0.029609652,-0.07694939,0.0005099842,7.777501e-05,0.0,0.03973694,-0.013321706,-0.036537725,0.27674186,0.2768993,nan,0.1,0.12297731,0.90636855,0.3688082,0.59696335,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
4433268,4432170,0,nan,nan,0.0142997475,0.019565117,-0.07034826,0.0,0.0,0.0,-0.0037038955,-0.004123754,0.021320257,-0.094864435,0.0005099842,7.777501e-05,0.0,-0.019334326,-0.101477474,0.013355731,0.2768326,0.2768993,nan,0.1,0.15659428,0.91918975,0.4273636,0.6006375,inf,inf,inf,inf,0,1,0,1,1,0,1,0,1,0,0,0,1,2
