timestamp,pixel_flow_x_integral,pixel_flow_y_integral,gyro_x_rate_integral,gyro_y_rate_integral,gyro_z_rate_integral,ground_distance_m,integration_timespan,time_since_last_sonar_update,max_flow_rate,min_ground_distance,max_ground_distance,frame_count_since_last_readout,gyro_temperature,sensor_id,quality,mode
71402222,-3.496911e-10,0.004,nan,nan,0.0,0.0,23451,0,5.0,0.1,30.0,0,0,123,78,0
71425442,0.002,1.7484555e-10,nan,nan,0.0,0.0,23650,0,5.0,0.1,30.0,0,0,123,75,0
71440775,1.7484555e-10,-0.002,nan,nan,0.0,0.0,15358,0,5.0,0.1,30.0,0,0,123,80,0
71457038,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,70,0
71472569,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,73,0
71488190,1.7484555e-10,-0.002,nan,nan,0.0,0.0,15118,0,5.0,0.1,30.0,0,0,123,76,0
71505091,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,78,0
71519780,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,79,0
71543963,-1.7484555e-10,0.002,nan,nan,0.0,0.0,23426,0,5.0,0.1,30.0,0,0,123,75,0
71559483,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,71,0
71589851,1.7484555e-10,-0.002,nan,nan,0.0,0.0,30773,0,5.0,0.1,30.0,0,0,123,75,0
71604990,-0.002,-1.7484555e-10,nan,nan,0.0,0.0,15371,0,5.0,0.1,30.0,0,0,123,77,0
71620602,-0.002,-1.7484555e-10,nan,nan,0.0,0.0,15666,0,5.0,0.1,30.0,0,0,123,76,0
71637133,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,72,0
71651840,0.0019999999,0.0020000003,nan,nan,0.0,0.0,15343,0,5.0,0.1,30.0,0,0,123,77,0
71667750,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,70,0
71684770,0.0,0.0,nan,nan,0.0,0.0,16266,0,5.0,0.1,30.0,0,0,123,79,0
71699815,0.0,0.0,nan,nan,0.0,0.0,15534,0,5.0,0.1,30.0,0,0,123,75,0
71715366,0.0,0.0,nan,nan,0.0,0.0,15893,0,5.0,0.1,30.0,0,0,123,73,0
71737957,0.0020000006,-0.004,nan,nan,0.0,0.0,22434,0,5.0,0.1,30.0,0,0,123,74,0
71753759,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,73,0
71769271,-3.496911e-10,0.004,nan,nan,0.0,0.0,15384,0,5.0,0.1,30.0,0,0,123,77,0
71785474,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,76,0
71800919,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,81,0
71824462,-0.002,-1.7484555e-10,nan,nan,0.0,0.0,23528,0,5.0,0.1,30.0,0,0,123,78,0
71839750,-1.7484555e-10,0.002,nan,nan,0.0,0.0,15073,0,5.0,0.1,30.0,0,0,123,78,0
71856110,0.0,0.0,nan,nan,0.0,0.0,15905,0,5.0,0.1,30.0,0,0,123,78,0
71871670,0.0,0.0,nan,nan,0.0,0.0,15892,0,5.0,0.1,30.0,0,0,123,74,0
71886423,0.0020000003,-0.0019999999,nan,nan,0.0,0.0,15117,0,5.0,0.1,30.0,0,0,123,75,0
