timestamp,timestamp_sample,gyro_device_id,gyro_bias[0],gyro_bias[1],gyro_bias[2],gyro_bias_limit,gyro_bias_variance[0],gyro_bias_variance[1],gyro_bias_variance[2],accel_device_id,accel_bias[0],accel_bias[1],accel_bias[2],accel_bias_limit,accel_bias_variance[0],accel_bias_variance[1],accel_bias_variance[2],mag_device_id,mag_bias[0],mag_bias[1],mag_bias[2],mag_bias_limit,mag_bias_variance[0],mag_bias_variance[1],mag_bias_variance[2],gyro_bias_valid,gyro_bias_stable,accel_bias_valid,accel_bias_stable,mag_bias_valid,mag_bias_stable
2108077,2106764,2490386,-3.4929675e-05,-4.697697e-05,0.002049854,0.34906584,0.008478085,0.008478752,0.003200976,2490386,6.811798e-05,-1.5696476e-05,-4.885825e-05,0.4,0.03404041,0.034040403,0.034142807,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
2934629,2933310,2490386,-0.0005598113,-7.9959216e-05,0.0029058845,0.34906584,0.0062275813,0.006228655,0.00040672725,2490386,0.00016988172,-0.00025427178,-8.862417e-05,0.4,0.033720642,0.033720564,0.034262087,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
3254983,3253647,2490386,-0.00075104716,0.00015654005,0.0029036405,0.34906584,0.0055828625,0.0055839648,0.00022913079,2490386,0.000121746896,-0.00028142935,0.0012679773,0.4,0.03507499,0.035074946,0.035381448,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
3516074,3514662,2490386,-0.0012177348,0.0010042246,0.002888344,0.34906584,0.0035498033,0.0035505558,0.0001534132,2490386,0.00011415842,-0.00027400386,0.0028648924,0.4,0.035890196,0.035890218,0.035807922,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
3606958,3605621,2490386,-0.0012207181,0.0010083197,0.0028775034,0.34906584,0.0035689555,0.0035697217,0.00013496717,2490386,9.5715586e-05,-0.00027008977,0.0043330137,0.4,0.036083903,0.036083955,0.03581913,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
3686164,3684718,2490386,-0.0014560348,0.0014333811,0.0028741132,0.34906584,0.0025822236,0.0025827922,0.00012119734,2490386,0.00014207904,-0.00023508386,0.005416351,0.4,0.0363455,0.036345582,0.035893645,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
3864120,3862682,2490386,-0.0014672225,0.0014468866,0.002872695,0.34906584,0.0026234726,0.0026240593,9.671545e-05,2490386,0.00011548393,-0.0002299424,0.007658279,0.4,0.03692614,0.0369263,0.03595914,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
4034322,4032737,2490386,-0.0016160853,0.0021836432,0.0028611391,0.34906584,0.001815153,0.0018155709,7.887768e-05,2490386,0.00025449513,-0.00019340529,0.00954238,0.4,0.037230745,0.037231002,0.035669547,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
4117249,4115788,2490386,-0.0017483109,0.0024000625,0.0028478457,0.34906584,0.001232298,0.001232588,7.150447e-05,2490386,0.00030673042,-0.00014950162,0.010566088,0.4,0.03710052,0.037100818,0.035241723,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
4204132,4202793,2490386,-0.0017570094,0.0024127243,0.0028519942,0.34906584,0.0012447443,0.0012450381,6.516249e-05,2490386,0.00029361056,-0.00014646126,0.011764925,0.4,0.037475187,0.03747555,0.035207223,4395025,0.0,0.0,0.0,0.5,0.0,0.0,0.0,1,0,1,0,1,0
