timestamp,accel_device_id,gyro_device_id,accel_clipping[0],accel_clipping[1],accel_clipping[2],accel_error_count,gyro_error_count,accel_rate_hz,gyro_rate_hz,accel_raw_rate_hz,gyro_raw_rate_hz,accel_vibration_metric,gyro_vibration_metric,gyro_coning_vibration,mean_accel[0],mean_accel[1],mean_accel[2],mean_gyro[0],mean_gyro[1],mean_gyro[2],var_accel[0],var_accel[1],var_accel[2],var_gyro[0],var_gyro[1],var_gyro[2],temperature_accel,temperature_gyro
2104646,3670026,3670026,0,0,0,3,3,248.546,248.546,3976.736,7953.472,0.025193976,0.0015334797,2.6037123e-06,0.12120205,-0.010949158,-9.6182995,-0.035655867,-0.02153112,-0.02038164,0.00024809086,4.5927656e-05,0.00023995011,1.2610216e-06,1.7243723e-06,5.9005373e-07,49.34976,49.34976
3148712,3670026,3670026,0,0,0,6,6,248.546,248.546,3976.736,7953.472,0.025592823,0.0019056834,4.8748348e-06,0.15718108,-0.009241335,-9.63116,-0.03604393,-0.021444235,-0.018656027,0.0023551297,0.00093341444,0.0010585126,2.666343e-06,1.4774606e-06,7.5524854e-06,49.48672,49.48672
4164655,3670026,3670026,0,0,0,9,9,248.546,248.546,3976.736,7953.472,0.035203025,0.0022074077,9.199406e-06,0.18556526,-0.0027142172,-9.637306,-0.035307534,-0.02155299,-0.018491386,0.0005795313,0.005207335,0.0057489327,4.3379773e-06,4.856962e-06,8.0923965e-06,49.581455,49.581455
5193330,3670026,3670026,0,0,0,13,13,245.14058,245.14058,3922.2493,7844.4985,0.027692532,0.0023259732,7.166754e-06,0.109444514,-0.029167645,-9.621696,-0.035845418,-0.021844367,-0.018881004,0.0009138715,0.00035296622,0.0007703646,3.5738954e-06,2.2266759e-06,7.941645e-06,49.658813,49.658813
6115947,3670026,3670026,0,0,0,15,15,245.14058,245.14058,3922.2493,7844.4985,0.024145216,0.0017427272,3.9718097e-06,0.15984306,-0.03952654,-9.633145,-0.03567389,-0.021544548,-0.01836505,0.00075395394,0.00040999346,0.0013296955,1.6200626e-06,2.2124923e-06,1.2423411e-06,49.716896,49.716896
7198409,3670026,3670026,0,0,0,21,21,244.87044,244.87044,3917.927,7835.854,0.02470659,0.0016953648,3.4827601e-06,0.13579294,-0.017805295,-9.621673,-0.035682157,-0.02086569,-0.018471554,0.0024972577,0.0014190614,0.0024309352,1.7507454e-06,2.9380774e-06,2.563733e-06,49.77895,49.77895
8113644,3670026,3670026,0,0,0,24,24,244.59113,244.59113,3913.458,7826.916,0.027416352,0.0022646473,5.174009e-06,0.12489642,-0.030010536,-9.619757,-0.035914827,-0.021862023,-0.018829085,0.00087962934,0.00034926998,0.0015781701,2.3841496e-06,2.8561537e-06,3.2084024e-06,49.826683,49.826683
9118158,3670026,3670026,0,0,0,28,28,244.59113,244.59113,3913.458,7826.916,0.029872809,0.0022605546,8.955572e-06,0.24452616,-0.060195502,-9.63523,-0.034100562,-0.020619694,-0.017221699,0.0052304724,0.0026616878,0.0069084545,1.1880987e-05,1.463946e-05,1.27739195e-05,49.863705,49.863705
10130242,3670026,3670026,0,0,0,31,31,244.59113,244.59113,3913.458,7826.916,0.025476532,0.0020341303,7.3322767e-06,0.16807628,-0.040422734,-9.619029,-0.03569246,-0.021603677,-0.018826757,0.0003538735,0.0009958528,0.00080884533,2.3523392e-06,8.77915e-07,5.4466964e-06,49.921055,49.921055
11186655,3670026,3670026,0,0,0,34,34,244.59113,244.59113,3913.458,7826.916,0.02020199,0.0016912844,2.756886e-06,0.19606206,-0.04409223,-9.621218,-0.035845764,-0.022159876,-0.018528162,0.00041691354,0.00028419666,0.0005912647,4.139084e-06,2.0412715e-06,1.7056761e-06,49.954044,49.954044
