timestamp,imbalanced_prop_metric,fd_roll,fd_pitch,fd_alt,fd_ext,fd_arm_escs,fd_high_wind,fd_battery,fd_imbalanced_prop
1009992,-6.689818e-05,0,0,0,0,0,0,0,0
1511658,-0.0010875923,0,0,0,0,0,0,0,0
2013990,-0.00121961,0,0,0,0,0,0,0,0
2525473,-0.00041560756,0,0,0,0,0,0,0,0
3035173,0.00043409044,0,0,0,0,0,0,0,0
3541582,0.0029528162,0,0,0,0,0,0,0,0
4050419,0.009096656,0,0,0,0,0,0,0,0
4095406,0.009096656,0,0,0,0,0,0,0,0
4600300,0.005040326,0,0,0,0,0,0,0,0
5110761,0.0027504158,0,0,0,0,0,0,0,0
5621639,0.0021755486,0,0,0,0,0,0,0,0
6130437,0.0013960134,0,0,0,0,0,0,0,0
6640302,0.0005886763,0,0,0,0,0,0,0,0
7139569,0.0015130338,0,0,0,0,0,0,0,0
7649463,-0.0012396778,0,0,0,0,0,0,0,0
8151713,-0.0010423475,0,0,0,0,0,0,0,0
8661593,7.488669e-05,0,0,0,0,0,0,0,0
9164495,0.0005048767,0,0,0,0,0,0,0,0
9672633,0.0010297141,0,0,0,0,0,0,0,0
10172761,0.00073518633,0,0,0,0,0,0,0,0
10683726,0.0003237317,0,0,0,0,0,0,0,0
11195016,-0.00017991048,0,0,0,0,0,0,0,0
11695691,-0.00013629755,0,0,0,0,0,0,0,0
12206667,0.0014417392,0,0,0,0,0,0,0,0
12715723,0.0020107247,0,0,0,0,0,0,0,0
13218814,0.0012275637,0,0,0,0,0,0,0,0
13717543,0.002650742,0,0,0,0,0,0,0,0
14142651,0.0019675924,0,0,0,0,0,0,0,0
14643840,0.00188058,0,0,0,0,0,0,0,0
15151617,0.0014490184,0,0,0,0,0,0,0,0
15661911,0.002776902,0,0,0,0,0,0,0,0
16162092,0.007266018,0,0,0,0,0,0,0,0
16662569,0.009665445,0,0,0,0,0,0,0,0
17170672,0.0057601947,0,0,0,0,0,0,0,0
17429322,0.004685299,0,0,0,0,0,0,0,0
17940561,0.002676798,0,0,0,0,0,0,0,0
18442021,0.001209727,0,0,0,0,0,0,0,0
18942738,0.0008935766,0,0,0,0,0,0,0,0
19454458,0.002214639,0,0,0,0,0,0,0,0
19959084,0.0227239,0,0,0,0,0,0,0,0
20464920,0.02454827,0,0,0,0,0,0,0,0
20974684,0.011585962,0,0,0,0,0,0,0,0
21487490,0.00507652,0,0,0,0,0,0,0,0
21986584,0.0022646675,0,0,0,0,0,0,0,0
22489455,0.0027422924,0,0,0,0,0,0,0,0
22990978,0.00085294707,0,0,0,0,0,0,0,0
23497365,0.00025163972,0,0,0,0,0,0,0,0
23998845,0.0005563129,0,0,0,0,0,0,0,0
24501002,0.00025193414,0,0,0,0,0,0,0,0
25003861,0.00029889404,0,0,0,0,0,0,0,0
25512297,0.0014978343,0,0,0,0,0,0,0,0
26016386,0.005172406,0,0,0,0,0,0,0,0
26518654,0.0025843023,0,0,0,0,0,0,0,0
27020892,0.015170301,0,0,0,0,0,0,0,0
27527425,0.014395331,0,0,0,0,0,0,0,0
28029054,0.009498582,0,0,0,0,0,0,0,0
28530611,0.018407121,0,0,0,0,0,0,0,0
29030586,0.009321193,0,0,0,0,0,0,0,0
29539363,0.0049078614,0,0,0,0,0,0,0,0
30042243,0.001694456,0,0,0,0,0,0,0,0
30545635,0.0004880624,0,0,0,0,0,0,0,0
31047543,0.0003514826,0,0,0,0,0,0,0,0
31553219,0.0011375904,0,0,0,0,0,0,0,0
