timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1427309,1426545,0.11788578,-0.048504755,-9.691794
1431260,1430500,0.1310722,-0.053993225,-9.682876
1478666,1477960,0.15774529,-0.009747313,-9.759398
1530046,1529369,0.10144391,-0.030233705,-9.810725
1581538,1580781,0.13271098,-0.052615784,-9.808385
1628925,1628238,0.12880892,-0.015731325,-9.745976
1680367,1679650,0.1255899,-0.033894327,-9.736302
1731746,1731062,0.13737826,-0.03942932,-9.758915
1779214,1778524,0.1049062,-0.0069124196,-9.792135
1826659,1825976,0.12401508,-0.039955433,-9.779115
1882102,1881344,0.14170106,-0.04584811,-9.770502
1929486,1928800,0.11065629,-0.009025806,-9.726578
1980905,1980212,0.13539958,-0.05268484,-9.741817
2032323,2031623,0.14504988,-0.031539377,-9.754329
2079861,2079081,0.107056074,-0.013675709,-9.77453
2131177,2130493,0.110413164,-0.041755263,-9.796397
2178654,2177950,0.16634661,-0.035786714,-9.787361
2230047,2229362,0.13024074,-0.006069749,-9.791221
2281443,2280773,0.08112044,-0.04766794,-9.773053
2328896,2328231,0.15979403,-0.0369715,-9.773369
2380333,2379643,0.14538886,0.0007311578,-9.77353
2431723,2431055,0.10564008,-0.07927138,-9.769823
2479185,2478512,0.15397802,-0.009896462,-9.790132
2530603,2529924,0.094608516,-0.024454335,-9.774194
2582003,2581336,0.16136812,-0.03441032,-9.759507
2629468,2628793,0.1272999,0.0018948851,-9.778911
2680943,2680205,0.11921908,-0.049192484,-9.769378
2732426,2731617,0.15286288,-0.021469947,-9.777212
2779755,2779074,0.10196256,-0.034963667,-9.778362
2831165,2830486,0.18475913,-0.018454386,-9.771771
2878637,2877943,0.07004703,-0.053902753,-9.77451
2930025,2929356,0.16773853,0.010598227,-9.785251
2981512,2980767,0.15551205,-0.06559625,-9.775568
3028898,3028226,0.07558731,-0.03917885,-9.753688
3080322,3079637,0.1787501,-0.0055749123,-9.765016
3131726,3131049,0.11355604,-0.029885521,-9.792589
3179184,3178506,0.03731212,-0.089219674,-9.793592
3226661,3225963,0.26330513,0.05858901,-9.781837
3282005,3281330,0.08686389,-0.06947839,-9.762776
3329461,3328788,0.07955088,-0.055007152,-9.777512
3380884,3380199,0.20492032,0.016977519,-9.771373
3432298,3431611,0.14455172,-0.04687563,-9.792923
3479742,3479069,0.025415346,-0.045526057,-9.774199
3531179,3530481,0.1528006,-0.037409607,-9.771002
3578628,3577938,0.27406982,0.037134297,-9.798996
3630022,3629350,0.075393364,-0.09041125,-9.8087435
3681431,3680762,0.0037316596,0.01500041,-9.821838
3728912,3728219,-0.04906489,0.089385346,-9.824661
3780322,3779632,0.0013036514,-0.25020817,-9.775089
3831736,3831044,0.46818644,0.14080378,-9.767397
3879183,3878501,0.29188812,-0.07874207,-9.669078
3926696,3925958,0.21898615,-0.14512762,-9.755894
3981991,3981325,0.0635378,0.11060413,-9.818548
4029477,4028783,-0.0060724253,-0.100301735,-9.837157
4080880,4080195,0.15936135,-0.07780404,-9.815924
4132292,4131607,0.16412795,0.07618845,-9.766471
4179738,4179064,0.18778643,-0.13568151,-9.752537
4231151,4230476,0.051486857,0.021881185,-9.835302
4278626,4277934,0.1055594,-0.00623487,-9.791063
4330014,4329346,0.19856285,-0.08605292,-9.754947
4381437,4380758,0.14155036,0.052847102,-9.741214
4428889,4428215,0.09817195,-0.13716757,-9.799757
4480312,4479628,0.12588927,0.010562718,-9.806827
4531719,4531040,0.2037132,-0.021248428,-9.804474
4579198,4578497,0.20392133,-0.06862891,-9.784269
4630576,4629909,0.08696631,0.011786102,-9.738134
