timestamp,timestamp_sample,device_id,x,y,z,temperature,error_count,clip_counter[0],clip_counter[1],clip_counter[2],samples
1399496,1398862,2490386,-0.08671499,-0.2220622,-9.945214,46.369263,0,0,0,0,32
1403442,1402817,2490386,-0.032845456,-0.20874447,-9.870919,46.340958,0,0,0,0,32
1502393,1501686,2490386,-0.011148002,-0.20979193,-9.905111,46.42965,0,0,0,0,32
1601249,1600555,2490386,0.044741645,-0.20320787,-9.835455,46.395683,0,0,0,0,32
1704006,1703378,2490386,0.03232172,-0.23605332,-9.897929,46.431538,0,0,0,0,32
1802929,1802247,2490386,0.0036661213,-0.20395605,-9.807847,46.33341,0,0,0,0,32
1901757,1901116,2490386,0.015562311,-0.19662382,-9.9133415,46.405117,0,0,0,0,32
2004572,2003940,2490386,0.046537295,-0.22363341,-9.919926,46.395683,0,0,0,0,32
2103519,2102809,2490386,-0.0017208324,-0.20754737,-9.811364,46.44852,0,0,0,0,32
2202383,2201678,2490386,0.04511574,-0.17455226,-9.886856,46.36738,0,0,0,0,32
2301264,2300547,2490386,0.009501988,-0.23051673,-9.831715,46.459843,0,0,0,0,32
2404068,2403371,2490386,-0.022894554,-0.26253918,-9.862914,46.46928,0,0,0,0,32
2502931,2502240,2490386,0.029852703,-0.16662148,-9.850793,46.548534,0,0,0,0,32
2601811,2601110,2490386,0.04683657,-0.2430863,-9.879075,46.46173,0,0,0,0,32
2704568,2703934,2490386,0.052447982,-0.23373394,-9.901371,46.56552,0,0,0,0,32
2803434,2802803,2490386,0.05199907,-0.18525136,-9.8276,46.505135,0,0,0,0,32
2902372,2901672,2490386,-0.01877952,-0.17732057,-9.888053,46.510796,0,0,0,0,32
3001239,3000541,2490386,-0.03696049,-0.24443303,-9.847426,46.5391,0,0,0,0,32
3104081,3103366,2490386,0.05199907,-0.17492636,-9.891046,46.495697,0,0,0,0,32
3198908,3198280,2490386,0.069057755,-0.18450317,-9.834108,46.46173,0,0,0,0,32
3301834,3301104,2490386,-0.08439561,-0.2503437,-9.87668,46.53155,0,0,0,0,32
3404613,3403928,2490386,0.05873276,-0.18293197,-9.905636,46.535328,0,0,0,0,32
3503481,3502797,2490386,-0.029927522,-0.2080711,-9.868002,46.586277,0,0,0,0,32
3602367,3601667,2490386,0.060229138,-0.25206456,-9.872715,46.452297,0,0,0,0,32
3701253,3700537,2490386,-0.07706337,-0.111180745,-9.869498,46.55986,0,0,0,0,32
3803985,3803360,2490386,0.22984336,-0.20470424,-9.844434,46.601376,0,0,0,0,32
3898961,3898275,2490386,0.057760116,-0.34880525,-9.977312,46.633453,0,0,0,0,32
4001792,4001100,2490386,-0.13302784,-0.19280806,-9.843685,46.60326,0,0,0,0,32
4104611,4103923,2490386,0.05065233,-0.13617022,-9.795427,46.591938,0,0,0,0,32
4203439,4202793,2490386,0.0041150344,-0.25161564,-9.896807,46.563633,0,0,0,0,32
4302300,4301662,2490386,0.09778818,-0.27323827,-9.8615675,46.586277,0,0,0,0,32
4401173,4400532,2490386,0.01810615,-0.24622868,-9.860595,46.5542,0,0,0,0,32
4503975,4503356,2490386,0.037783496,-0.16370355,-9.828423,46.584393,0,0,0,0,32
4602863,4602234,2490386,0.04945523,-0.21779753,-9.894188,46.67497,0,0,0,0,32
4701752,4701096,2490386,0.07182605,-0.22423196,-9.781661,46.590054,0,0,0,0,32
4804563,4803920,2490386,-0.042945992,-0.22550388,-9.863363,46.633453,0,0,0,0,32
4903423,4902789,2490386,0.01616086,-0.14903906,-9.910199,46.657986,0,0,0,0,32
5002387,5001659,2490386,0.067336924,-0.20657471,-9.799019,46.686295,0,0,0,0,32
5101229,5100529,2490386,0.084021516,-0.19565117,-9.853561,46.70705,0,0,0,0,32
5203977,5203353,2490386,0.035688568,-0.23807344,-9.864485,46.69573,0,0,0,0,32
5298901,5298268,2490386,0.0026934769,-0.250643,-9.896059,46.684406,0,0,0,0,32
5401787,5401094,2490386,0.07152677,-0.17462708,-9.836877,46.665535,0,0,0,0,32
5504537,5503917,2490386,-0.04571429,-0.19445407,-9.852439,46.599487,0,0,0,0,32
5603476,5602787,2490386,0.035838205,-0.19864392,-9.926061,46.654213,0,0,0,0,32
5702295,5701656,2490386,0.076539636,-0.1929577,-9.824083,46.665535,0,0,0,0,32
5801212,5800526,2490386,0.025662849,-0.28461072,-9.866954,46.663647,0,0,0,0,32
5903970,5903351,2490386,0.062099606,-0.22228667,-9.855283,46.70705,0,0,0,0,32
5998895,5998266,2490386,0.010699089,-0.17597382,-9.853262,46.654213,0,0,0,0,32
6101813,6101090,2490386,-0.002992752,-0.21570261,-9.902194,46.72781,0,0,0,0,32
6204586,6203915,2490386,0.005761048,-0.24652795,-9.889699,46.703278,0,0,0,0,32
6303428,6302785,2490386,0.036511578,-0.24914661,-9.904438,46.680634,0,0,0,0,32
6402414,6401654,2490386,0.0525228,-0.2375497,-9.843237,46.710823,0,0,0,0,32
6501165,6500524,2490386,-0.010549451,-0.2435352,-9.8894,46.70894,0,0,0,0,32
6603974,6603349,2490386,0.03060089,-0.2653075,-9.8683,46.68818,0,0,0,0,32
6702918,6702219,2490386,0.027832596,-0.22550388,-9.8754835,46.71271,0,0,0,0,32
6801738,6801088,2490386,0.13415012,-0.16056114,-9.836278,46.763664,0,0,0,0,32
6904548,6903915,2490386,-0.030825347,-0.22423196,-9.820416,46.739132,0,0,0,0,32
7003509,7002783,2490386,0.0087538,-0.16707039,-9.8515415,46.846695,0,0,0,0,32
7102368,7101653,2490386,0.071975686,-0.17051205,-9.954717,46.72215,0,0,0,0,32
7201212,7200523,2490386,-0.02184709,-0.2911948,-9.7756,46.697617,0,0,0,0,32
7303971,7303348,2490386,0.03374328,-0.24278702,-9.851092,46.788197,0,0,0,0,32
7398893,7398263,2490386,0.032845456,-0.23799862,-9.8638115,46.795742,0,0,0,0,32
7501771,7501088,2490386,0.04833295,-0.28835166,-9.730559,46.750454,0,0,0,0,32
7604531,7603912,2490386,0.03546411,-0.20537761,-9.857901,46.767437,0,0,0,0,32
