timestamp,timestamp_sample,accel_device_id,gyro_device_id,delta_angle[0],delta_angle[1],delta_angle[2],delta_velocity[0],delta_velocity[1],delta_velocity[2],delta_angle_dt,delta_velocity_dt,delta_velocity_clipping,accel_calibration_count,gyro_calibration_count
18717746,18716959,2490386,2490386,-1.107466e-05,1.2132573e-05,1.1959137e-06,0.00050077983,-9.897047e-05,-0.03853178,3947,3947,0,1,1
19215970,19215269,2490386,2490386,-4.8632755e-06,1.0991823e-05,1.48648e-05,0.00049019145,-0.00012052092,-0.038756467,3955,3955,0,1,1
19718257,19717534,2490386,2490386,-2.6397342e-05,5.2291907e-05,1.12109765e-05,0.00023547391,-0.0011446708,-0.038889647,3955,3955,0,1,1
20216546,20215844,2490386,2490386,6.5791714e-06,9.036213e-06,-2.0840214e-05,0.0005904423,7.189085e-05,-0.03851005,3955,3955,0,1,1
20718812,20718109,2490386,2490386,-1.2136659e-05,-1.5250417e-06,2.6032218e-05,0.0009085566,0.00022035767,-0.03867386,3955,3955,0,1,1
21217142,21216419,2490386,2490386,-7.4317163e-06,6.83104e-06,6.015856e-06,0.0004734234,-0.00036694005,-0.03870172,3955,3955,0,1,1
21719401,21718686,2490386,2490386,-1.1829003e-05,8.193878e-06,-2.4020476e-06,0.0005607811,-0.00031039646,-0.038352296,3955,3955,0,1,1
22217704,22216995,2490386,2490386,-1.1347782e-05,-1.3014092e-05,6.797442e-06,0.00033986624,-0.00013211236,-0.038503844,3955,3955,0,1,1
22716017,22715305,2490386,2490386,-5.478343e-06,8.2085387e-07,6.6699017e-06,0.0004831677,-0.00010076539,-0.038738523,3954,3954,0,1,1
23218279,23217571,2490386,2490386,-6.136625e-06,1.001484e-05,1.3912003e-05,0.00059309334,-4.0561732e-05,-0.03859761,3955,3955,0,1,1
23716588,23715885,2490386,2490386,-7.146816e-06,1.5782663e-05,8.305214e-06,0.0007978041,-3.1778e-05,-0.038530953,3958,3958,0,1,1
24218915,24218148,2490386,2490386,-1.0146142e-05,1.3599295e-05,2.2335431e-05,0.0003576736,-0.00018602506,-0.038786758,3955,3955,0,1,1
24717170,24716460,2490386,2490386,-6.6255975e-06,1.2778257e-05,1.312787e-05,0.0006853402,-0.00011682555,-0.038653813,3955,3955,0,1,1
25219437,25218726,2490386,2490386,-1.1422476e-05,9.371734e-06,1.6708134e-05,0.00059199304,6.293538e-05,-0.03850347,3955,3955,0,1,1
25717806,25717037,2490386,2490386,7.4244685e-06,-9.4606355e-07,-6.1610925e-05,0.00041479807,-1.9657266e-05,-0.038267914,3954,3954,0,1,1
26216063,26215350,2490386,2490386,-1.0261463e-05,1.268345e-05,-1.1346045e-05,0.0005767989,-0.0003548059,-0.03855533,3956,3956,0,1,1
26718421,26717616,2490386,2490386,-1.6004975e-05,-1.3964424e-05,1.8510935e-05,0.0014126588,-0.00011990872,-0.03863484,3955,3955,0,1,1
27216649,27215928,2490386,2490386,-1.3586975e-05,-7.1183445e-06,5.3506988e-06,0.00085211464,-5.5059023e-05,-0.038819976,3955,3955,0,1,1
27718911,27718195,2490386,2490386,-2.039449e-06,1.58847e-05,3.282439e-05,0.0006287756,0.00015776587,-0.038595725,3956,3956,0,1,1
28217235,28216506,2490386,2490386,-2.5844463e-06,2.7379945e-05,7.174211e-05,0.00062111503,0.0007558822,-0.038868275,3955,3955,0,1,1
28719477,28718773,2490386,2490386,-9.026502e-06,1.14920895e-05,-1.1112266e-05,0.00077136356,-0.00039756656,-0.038848497,3955,3955,0,1,1
29217805,29217085,2490386,2490386,-1.3288018e-05,-6.805854e-06,2.626914e-05,0.0003500596,0.00019064813,-0.038958184,3955,3955,0,1,1
29716113,29715398,2490386,2490386,-7.1174145e-06,1.6383243e-05,9.768081e-06,0.0006053724,-0.00016361265,-0.03898987,3955,3955,0,1,1
