timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1427104,1426545,0.024848895,-0.08164132,-0.10056604
1431020,1430500,0.11897312,-0.13581005,-0.010028478
1434981,1434455,0.068493105,-0.14940217,0.05974515
1438918,1438414,0.065572575,-0.1731202,0.102517284
1442856,1442364,0.076671824,-0.12364982,0.12393751
1446824,1446319,-0.036220327,-0.081030205,0.1313345
1450831,1450274,-0.016743148,0.001142594,0.16261882
1454732,1454229,-0.075372286,0.11976969,0.17089444
1458704,1458183,-0.031983156,0.13733292,0.14590436
1462635,1462138,0.0035969953,0.18880637,0.1084263
1466587,1466093,0.014917059,0.15069997,0.12242591
1470587,1470048,0.042125497,0.15279591,0.10384709
1474498,1474002,0.006887328,0.1175694,0.11419061
1478454,1477960,0.025328588,0.07229807,0.17415403
1482440,1481912,-0.035288196,0.03025397,0.17549466
1486370,1485867,-0.0061955545,-0.018989578,0.16473866
1490326,1489822,0.0076015783,-0.039482884,0.115407795
1494275,1493776,-0.02616645,-0.12831758,0.091651425
1498242,1497736,-0.0423249,-0.1623002,0.030052634
1502220,1501686,-0.100623496,-0.15663275,-0.03807648
1506136,1505640,-0.026003705,-0.12711503,-0.0792777
1510088,1509595,-0.007224231,-0.04897008,-0.14905448
1514042,1513550,0.029992027,0.00896031,-0.21097498
1518019,1517505,0.07959144,0.07387495,-0.27395886
1521955,1521459,0.03474961,0.1250775,-0.3020959
1525911,1525414,0.046921335,0.107763596,-0.29314294
1529862,1529369,-0.060458567,0.13589875,-0.26396936
1533847,1533324,-0.028556297,0.06758996,-0.1920851
1537782,1537282,-0.058013696,0.055322416,-0.11221984
1541728,1541233,-0.040121462,-0.006442642,-0.04375133
1545679,1545188,0.00527999,-0.022297645,0.016035791
1549641,1549143,-0.00643538,-0.07851875,0.055372313
1553590,1553097,0.05294582,-0.11902593,0.13765766
1557545,1557052,0.022245029,-0.07759166,0.16665031
1561543,1561007,0.017384298,-0.1298708,0.20780954
1565453,1564962,-0.03728436,-0.10248988,0.21829817
1569421,1568917,-0.022547062,-0.1266641,0.23068134
1573369,1572871,0.015255436,-0.04983941,0.21686444
1577323,1576826,-0.035399716,0.0027490866,0.20580317
1581301,1580781,0.010928711,0.077733584,0.18924913
1585239,1584737,-0.003341883,0.120340884,0.0681972
1589188,1588690,0.040389184,0.13240893,-0.017659428
1593139,1592645,0.03959601,0.12896486,-0.078193665
1597094,1596600,-0.0018894846,0.08613755,-0.08542626
1601073,1600555,0.036145046,0.07186859,-0.14527749
1605020,1604509,-0.0039269915,0.040649038,-0.17414026
1608960,1608464,0.0012584247,-0.01744315,-0.18084368
1612919,1612423,-0.052549448,-0.05087679,-0.1788905
1616880,1616374,-0.03461354,-0.11673598,-0.14190488
1620875,1620330,0.003151491,-0.12903523,-0.098400734
1624813,1624283,-0.03177201,-0.12001947,-0.044323806
1628734,1628238,0.10082434,-0.11141761,-0.003282952
1632724,1632194,0.035520352,-0.014746314,0.02115011
1636644,1636147,0.037574977,0.0256909,0.036942553
1640599,1640105,-0.059187707,0.0993256,0.03503031
1644606,1644057,-0.031303696,0.0463075,0.045019507
1648523,1648012,-0.0001353882,0.06973946,0.069483966
1652467,1651966,-0.02956737,0.08054868,0.09308112
1656418,1655921,-0.0039919373,0.119974785,0.110384814
1660371,1659876,-0.114514194,0.10057356,0.06344524
1664323,1663831,-0.07168997,0.011026221,0.053233266
1668284,1667785,-0.05206378,-0.01828023,0.03392624
1672244,1671740,-0.0043357005,-0.093640074,0.076106876
1676207,1675695,0.041312285,-0.071068615,0.07407159
1680163,1679650,-0.012853553,-0.073827334,0.06794184
1684103,1683605,0.027592558,-0.035174724,0.071963325
1688065,1687559,-0.015072967,-0.048471134,0.03790947
1692009,1691514,0.0364021,-0.07895229,0.022516841
1695966,1695469,0.054090563,-0.0540809,-0.04086532
1699944,1699424,0.035974517,-0.028490389,-0.089297175
1703872,1703378,0.053400073,0.031384688,-0.123856775
1707827,1707333,-0.031049596,0.09138691,-0.16790424
1711791,1711289,0.08938731,0.049542416,-0.17112279
1715740,1715243,0.035941623,0.042057626,-0.15189986
1719691,1719197,0.04873042,0.013985454,-0.13240042
1723651,1723152,-0.0062436434,0.039101336,-0.12231278
1727606,1727107,-0.035153233,0.039239362,-0.051714342
1731554,1731062,-0.01199624,0.036381565,0.013995396
1735536,1735017,-0.053940915,0.012401516,0.058587845
1739471,1738971,0.043413103,-0.055258192,0.098639645
1743428,1742926,0.057368174,-0.029237526,0.12482872
1747378,1746881,0.08456805,-0.05167637,0.15026282
1751334,1750836,0.055241767,-0.020167273,0.1755467
1755282,1754790,-0.027845608,-0.051735748,0.15788643
1759251,1758745,-0.05688547,-0.032538567,0.16468157
1763221,1762700,-0.14619254,-0.039276622,0.11072483
1767183,1766655,-0.07402114,-0.034601174,0.06165479
1771101,1770609,-0.058987334,0.030266382,0.0078039174
1775061,1774564,-0.04613493,0.055897072,-0.020358164
1779019,1778524,0.02758748,0.08221617,-0.09690291
1782970,1782474,0.04564102,0.045954727,-0.1385175
1786927,1786428,0.06424852,0.031230234,-0.12822634
1790881,1790383,-0.038046606,0.01505561,-0.10570448
1794828,1794338,-0.023081541,-0.025401982,-0.05729039
1798796,1798293,-0.03590223,-0.014903008,-0.051603016
1802772,1802247,-0.047246616,-0.028124062,-0.03867353
1806707,1806202,0.0013142894,-0.066752754,-0.081385076
1810735,1810161,0.011062757,-0.08506581,-0.070163354
1814610,1814119,0.1175177,-0.056247868,-0.030113794
1818558,1818066,0.05746998,0.0049128546,-0.021209586
1822547,1822023,0.06150391,-0.014274716,-0.024177376
1826468,1825976,0.013741925,0.026037334,-0.019123161
1830444,1829931,-0.03565977,0.035181068,0.0136921955
1834479,1833885,-0.046241894,0.07389213,0.025001602
1838333,1837840,-0.12399197,0.08296905,0.01945263
